ชุดข้อมูลเดือน,ชุดข้อมูลปี,รายการ,ค่าข้อมูล
มีนาคม,2551,ยอดคงค้างสินเชื่อรวม (Gross),1815860.486
มิถุนายน,2551,ยอดคงค้างสินเชื่อรวม (Gross),1860457.57
กันยายน,2551,ยอดคงค้างสินเชื่อรวม (Gross),1877807.493
ธันวาคม,2551,ยอดคงค้างสินเชื่อรวม (Gross),1977564.807
มีนาคม,2552,ยอดคงค้างสินเชื่อรวม (Gross),2117789.488
มิถุนายน,2552,ยอดคงค้างสินเชื่อรวม (Gross),2175004.129
กันยายน,2552,ยอดคงค้างสินเชื่อรวม (Gross),2175484.42
ธันวาคม,2552,ยอดคงค้างสินเชื่อรวม (Gross),2370317.981
มีนาคม,2553,ยอดคงค้างสินเชื่อรวม (Gross),2505594.271
มิถุนายน,2553,ยอดคงค้างสินเชื่อรวม (Gross),2496432.204
กันยายน,2553,ยอดคงค้างสินเชื่อรวม (Gross),2651994.403
ธันวาคม,2553,ยอดคงค้างสินเชื่อรวม (Gross),2854152.02
มีนาคม,2554,ยอดคงค้างสินเชื่อรวม (Gross),3055649.074
มิถุนายน,2554,ยอดคงค้างสินเชื่อรวม (Gross),3121491.918
กันยายน,2554,ยอดคงค้างสินเชื่อรวม (Gross),3188587.075
ธันวาคม,2554,ยอดคงค้างสินเชื่อรวม (Gross),3442211.138
มีนาคม,2555,ยอดคงค้างสินเชื่อรวม (Gross),3578101.533
มิถุนายน,2555,ยอดคงค้างสินเชื่อรวม (Gross),3473528.615
กันยายน,2555,ยอดคงค้างสินเชื่อรวม (Gross),3566065.565
ธันวาคม,2555,ยอดคงค้างสินเชื่อรวม (Gross),3676628.983
มีนาคม,2556,ยอดคงค้างสินเชื่อรวม (Gross),3819777.04
มิถุนายน,2556,ยอดคงค้างสินเชื่อรวม (Gross),3768999.632
กันยายน,2556,ยอดคงค้างสินเชื่อรวม (Gross),3833569.636
ธันวาคม,2556,ยอดคงค้างสินเชื่อรวม (Gross),4026459.849
มีนาคม,2557,ยอดคงค้างสินเชื่อรวม (Gross),4068079.397
มิถุนายน,2557,ยอดคงค้างสินเชื่อรวม (Gross),4160295.824
กันยายน,2557,ยอดคงค้างสินเชื่อรวม (Gross),4125111.119
ธันวาคม,2557,ยอดคงค้างสินเชื่อรวม (Gross),4157086.607
มีนาคม,2558,ยอดคงค้างสินเชื่อรวม (Gross),4355591.094
มิถุนายน,2558,ยอดคงค้างสินเชื่อรวม (Gross),4340886.089
กันยายน,2558,ยอดคงค้างสินเชื่อรวม (Gross),4344522.088
ธันวาคม,2558,ยอดคงค้างสินเชื่อรวม (Gross),4596506.11
มีนาคม,2559,ยอดคงค้างสินเชื่อรวม (Gross),4706390.305
มิถุนายน,2559,ยอดคงค้างสินเชื่อรวม (Gross),4787760.223
กันยายน,2559,ยอดคงค้างสินเชื่อรวม (Gross),4761016.643
ธันวาคม,2559,ยอดคงค้างสินเชื่อรวม (Gross),4922056.693
มีนาคม,2560,ยอดคงค้างสินเชื่อรวม (Gross),4941334.482
มิถุนายน,2560,ยอดคงค้างสินเชื่อรวม (Gross),5050175.934
กันยายน,2560,ยอดคงค้างสินเชื่อรวม (Gross),5011437.665
