Province_Name,CaneArea,Cane,CaneAreafactory,Canefactory,Yield,Region_Name,ProductionYear
อ่างทอง," 22,821 "," 246,695 "," 18,794 "," 203,165 ",10.81,กลาง,2565/66
สิงห์บุรี," 22,659 "," 245,397 "," 17,995 "," 194,887 ",10.83,กลาง,2565/66
อุดรธานี," 738,696 "," 7,926,208 "," 620,886 "," 6,662,101 ",10.73,ตะวันออกเฉียงเหนื่อ,2565/66
ขอนแก่น," 651,492 "," 7,003,539 "," 554,221 "," 5,957,877 ",10.75,ตะวันออกเฉียงเหนื่อ,2565/66
นครราชสีมา," 615,166 "," 6,213,177 "," 522,937 "," 5,281,659 ",10.10,ตะวันออกเฉียงเหนื่อ,2565/66
ชัยภูมิ," 564,052 "," 6,035,356 "," 480,008 "," 5,136,084 ",10.70,ตะวันออกเฉียงเหนื่อ,2565/66
กาฬสินธุ์," 447,058 "," 4,783,521 "," 382,279 "," 4,090,388 ",10.70,ตะวันออกเฉียงเหนื่อ,2565/66
หนองบัวลำภู," 346,188 "," 3,738,830 "," 294,381 "," 3,179,320 ",10.80,ตะวันออกเฉียงเหนื่อ,2565/66
เลย," 337,960 "," 3,626,311 "," 287,469 "," 3,084,543 ",10.73,ตะวันออกเฉียงเหนื่อ,2565/66
มุกดาหาร," 214,218 "," 2,317,839 "," 182,299 "," 1,972,480 ",10.82,ตะวันออกเฉียงเหนื่อ,2565/66
บุรีรัมย์," 184,775 "," 2,004,809 "," 157,059 "," 1,704,089 ",10.85,ตะวันออกเฉียงเหนื่อ,2565/66
ร้อยเอ็ด," 169,769 "," 1,808,040 "," 145,193 "," 1,546,306 ",10.65,ตะวันออกเฉียงเหนื่อ,2565/66
มหาสารคาม," 132,275 "," 1,256,613 "," 112,509 "," 1,068,833 ",9.50,ตะวันออกเฉียงเหนื่อ,2565/66
สุรินทร์," 128,713 "," 1,300,001 "," 110,049 "," 1,111,499 ",10.10,ตะวันออกเฉียงเหนื่อ,2565/66
อำนาจเจริญ," 103,675 "," 1,109,323 "," 88,228 "," 944,042 ",10.70,ตะวันออกเฉียงเหนื่อ,2565/66
ยโสธร," 102,746 "," 1,053,147 "," 87,462 "," 896,486 ",10.25,ตะวันออกเฉียงเหนื่อ,2565/66
สกลนคร," 102,119 "," 1,082,461 "," 86,903 "," 921,174 ",10.60,ตะวันออกเฉียงเหนื่อ,2565/66
หนองคาย," 73,125 "," 789,750 "," 62,739 "," 677,579 ",10.80,ตะวันออกเฉียงเหนื่อ,2565/66
นครพนม," 16,796 "," 180,557 "," 14,377 "," 154,554 ",10.75,ตะวันออกเฉียงเหนื่อ,2565/66
ศรีสะเกษ," 12,546 "," 121,696 "," 10,689 "," 103,683 ",9.70,ตะวันออกเฉียงเหนื่อ,2565/66
บึงกาฬ," 4,568 "," 49,334 "," 3,878 "," 41,887 ",10.80,ตะวันออกเฉียงเหนื่อ,2565/66
อุบลราชธานี," 4,116 "," 40,337 "," 3,499 "," 34,291 ",9.80,ตะวันออกเฉียงเหนื่อ,2565/66
สระแก้ว," 454,471 "," 4,408,369 "," 327,674 "," 3,178,434 ",9.70,ตะวันออก,2565/66
ชลบุรี," 141,319 "," 1,356,662 "," 103,163 "," 990,364 ",9.60,ตะวันออก,2565/66
ปราจีนบุรี," 41,647 "," 397,729 "," 30,402 "," 290,342 ",9.55,ตะวันออก,2565/66
ฉะเชิงเทรา," 30,525 "," 270,146 "," 22,591 "," 199,933 ",8.85,ตะวันออก,2565/66
จันทบุรี," 2,362 "," 22,793 "," 1,725 "," 16,647 ",9.65,ตะวันออก,2565/66
ระยอง, 623 ," 5,109 ", 468 ," 3,837 ",8.20,ตะวันออก,2565/66
