ชุดข้อมูลเดือน,ชุดข้อมูลปี,รายการ,ค่าข้อมูล
มิถุนายน,2551,ยอดคงค้าง NPL สุทธิ (Net),95868.0992
กันยายน,2551,ยอดคงค้าง NPL สุทธิ (Net),98277.38388
ธันวาคม,2551,ยอดคงค้าง NPL สุทธิ (Net),93385.23914
มีนาคม,2552,ยอดคงค้าง NPL สุทธิ (Net),85651.86284
มิถุนายน,2552,ยอดคงค้าง NPL สุทธิ (Net),52992.4766
กันยายน,2552,ยอดคงค้าง NPL สุทธิ (Net),67921.22893
ธันวาคม,2552,ยอดคงค้าง NPL สุทธิ (Net),60180.65472
มีนาคม,2553,ยอดคงค้าง NPL สุทธิ (Net),57894.99336
มิถุนายน,2553,ยอดคงค้าง NPL สุทธิ (Net),59668.61669
กันยายน,2553,ยอดคงค้าง NPL สุทธิ (Net),56507.51297
ธันวาคม,2553,ยอดคงค้าง NPL สุทธิ (Net),46174.38963
มีนาคม,2554,ยอดคงค้าง NPL สุทธิ (Net),46910.45894
มิถุนายน,2554,ยอดคงค้าง NPL สุทธิ (Net),46929.74082
กันยายน,2554,ยอดคงค้าง NPL สุทธิ (Net),40646.82373
ธันวาคม,2554,ยอดคงค้าง NPL สุทธิ (Net),39351.34722
มีนาคม,2555,ยอดคงค้าง NPL สุทธิ (Net),54984.63177
มิถุนายน,2555,ยอดคงค้าง NPL สุทธิ (Net),49407.50812
กันยายน,2555,ยอดคงค้าง NPL สุทธิ (Net),53142.32536
ธันวาคม,2555,ยอดคงค้าง NPL สุทธิ (Net),45100.6995
มีนาคม,2556,ยอดคงค้าง NPL สุทธิ (Net),64163.12839
มิถุนายน,2556,ยอดคงค้าง NPL สุทธิ (Net),66299.88713
กันยายน,2556,ยอดคงค้าง NPL สุทธิ (Net),57038.60331
ธันวาคม,2556,ยอดคงค้าง NPL สุทธิ (Net),58478.79326
มีนาคม,2557,ยอดคงค้าง NPL สุทธิ (Net),55394.80264
มิถุนายน,2557,ยอดคงค้าง NPL สุทธิ (Net),59970.71586
กันยายน,2557,ยอดคงค้าง NPL สุทธิ (Net),57318.42641
ธันวาคม,2557,ยอดคงค้าง NPL สุทธิ (Net),52260.14155
มีนาคม,2558,ยอดคงค้าง NPL สุทธิ (Net),54833.27048
มิถุนายน,2558,ยอดคงค้าง NPL สุทธิ (Net),50331.04142
กันยายน,2558,ยอดคงค้าง NPL สุทธิ (Net),46878.45883
ธันวาคม,2558,ยอดคงค้าง NPL สุทธิ (Net),43198.1163
มีนาคม,2559,ยอดคงค้าง NPL สุทธิ (Net),44526.27391
มิถุนายน,2559,ยอดคงค้าง NPL สุทธิ (Net),43670.183
กันยายน,2559,ยอดคงค้าง NPL สุทธิ (Net),73108.03304
ธันวาคม,2559,ยอดคงค้าง NPL สุทธิ (Net),66772.72062
มีนาคม,2560,ยอดคงค้าง NPL สุทธิ (Net),68936.59493
มิถุนายน,2560,ยอดคงค้าง NPL สุทธิ (Net),45395.12555
กันยายน,2560,ยอดคงค้าง NPL สุทธิ (Net),43527.55297
ธันวาคม,2560,ยอดคงค้าง NPL สุทธิ (Net),39230.5492
มีนาคม,2561,ยอดคงค้าง NPL สุทธิ (Net),41935.66853
มิถุนายน,2561,ยอดคงค้าง NPL สุทธิ (Net),43493.69469
กันยายน,2561,ยอดคงค้าง NPL สุทธิ (Net),42463.18187
ธันวาคม,2561,ยอดคงค้าง NPL สุทธิ (Net),48231.17101
มีนาคม,2562,ยอดคงค้าง NPL สุทธิ (Net),51420.82973
มิถุนายน,2562,ยอดคงค้าง NPL สุทธิ (Net),54219.18073
กันยายน,2562,ยอดคงค้าง NPL สุทธิ (Net),58921.72968
ธันวาคม,2562,ยอดคงค้าง NPL สุทธิ (Net),51665.28464
มีนาคม,2563,ยอดคงค้าง NPL สุทธิ (Net),71079.52371
มิถุนายน,2563,ยอดคงค้าง NPL สุทธิ (Net),59567.38766
กันยายน,2563,ยอดคงค้าง NPL สุทธิ (Net),53616.71372
ธันวาคม,2563,ยอดคงค้าง NPL สุทธิ (Net),36604.07981
มีนาคม,2564,ยอดคงค้าง NPL สุทธิ (Net),39405.69746
มิถุนายน,2564,ยอดคงค้าง NPL สุทธิ (Net),42814.70958
กันยายน,2564,ยอดคงค้าง NPL สุทธิ (Net),56741.53863
ธันวาคม,2564,ยอดคงค้าง NPL สุทธิ (Net),55703.33384
มีนาคม,2565,ยอดคงค้าง NPL สุทธิ (Net),61578.80455
มิถุนายน,2565,ยอดคงค้าง NPL สุทธิ (Net),69493.77054
กันยายน,2565,ยอดคงค้าง NPL สุทธิ (Net),69135.45117
ธันวาคม,2565,ยอดคงค้าง NPL สุทธิ (Net),57993.60883
มีนาคม,2566,ยอดคงค้าง NPL สุทธิ (Net),62169.01738
มิถุนายน,2566,ยอดคงค้าง NPL สุทธิ (Net),65720.45926
กันยายน,2566,ยอดคงค้าง NPL สุทธิ (Net),68473.77238
ธันวาคม,2566,ยอดคงค้าง NPL สุทธิ (Net),63102.79703
มีนาคม,2567,ยอดคงค้าง NPL สุทธิ (Net),86636.79266
มิถุนายน,2567,ยอดคงค้าง NPL สุทธิ (Net),102035.2623
กันยายน,2567,ยอดคงค้าง NPL สุทธิ (Net),106660.9682
ธันวาคม,2567,ยอดคงค้าง NPL สุทธิ (Net),95306.2393
มีนาคม,2568,ยอดคงค้าง NPL สุทธิ (Net),112279.6467
มิถุนายน,2568,ยอดคงค้าง NPL สุทธิ (Net),118033.1962
กันยายน,2568,ยอดคงค้าง NPL สุทธิ (Net),117263.89
ธันวาคม,2568,ยอดคงค้าง NPL สุทธิ (Net),108547.1804
มีนาคม,2569,ยอดคงค้าง NPL สุทธิ (Net),115918.6583
