รายการ,ปี,ข้อมูล,หน่วย
ราคาอ้อย,2563,0.833,บาท/กก.
ราคาอ้อย,2564,1.002,บาท/กก.
ราคาอ้อย,2565,1.106,บาท/กก.
ราคาอ้อย,2566,1.42,บาท/กก.
ราคาอ้อย,2567,1.4,บาท/กก.
ราคาอ้อย,2568,1.15,บาท/กก.
