ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำขนมปัง เค้ก สาลี่ และขนมอบ,คลองเตย,1001,สุขุมวิท 71,, 19.00 ,100200125381, 35 ,กรุงเทพมหานคร,,"200,200/1-2", 108.00 ,ศ3-10(1)-1/38,38,พระโขนง,บริษัท เซเว่น ไฟว์ จำกัด,1,บริษัท เซเว่น ไฟว์ จำกัด,3,10110
ทำมักกะโรนีและสปาเกตตี้ น้ำหวานชนิดเข้มข้นจากน้ำตาล น้ำซ๊อส น้ำพริกเผาบรรจุขวด,คลองเตย,1003,สุขุมวิท,นภาศัพท์แยก 3, 1.02 ,10100000225140, 12 ,กรุงเทพมหานคร,,6/1, 118.64 ,3-10(3)-2/14,14,คลองตัน,บริษัท บีบีไอ จำกัด,2,บริษัท บีบีไอ จำกัด,3,10110
ทำเครื่องปรุงเสริมรสอาหาร เช่น เครื่องปรุงเสริมรสเนื้อ แป้งสำเร็จรูป ฯลฯ,คลองเตย,1302,สุขุมวิท,นภาศัพย์แยก 3, 1.30 ,10100100125182, 58 ,กรุงเทพมหานคร,,6/1, 42.30 ,3-13(2)-1/18,18,คลองตัน,บริษัท บี บี ไอ จำกัด,3,บริษัท บี บี ไอ จำกัด,3,10110
ทำน้ำแข็งก้อนเล็ก ได้วันละ 31.96 ตัน,คลองเตย,1400,,เคหะคลองเตย 4, 3.00 ,100100525359, 14 ,กรุงเทพมหานคร,,100/789-793, 232.50 ,ศ3-14-5/35,35,คลองเตย,บริษัท ท่าเรือน้ำแข็งหลอด จำกัด,4,บริษัท ท่าเรือน้ำแข็งหลอด จำกัด,3,10110
ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 30 ตัน,คลองเตย,1400,พระรามที่ 4,, 5.50 ,10100100425285, 10 ,กรุงเทพมหานคร,,2211/2, 252.50 ,3-14-4/28,28,คลองเตย,เกรียงศักดิ์น้ำแข็งหลอด,5,เกรียงศักดิ์น้ำแข็งหลอด,3,10110
ผลิตอาหารสัตว์,คลองเตย,1502,สุขุมวิท,สุขุมวิท 34, 1.90 ,10100100125281, 55 ,กรุงเทพมหานคร,,11, 18.50 ,3-15(2)-1/28,28,คลองตัน,ห้างหุ้นส่วนจำกัด โรงงานยาตราพระ,6,ห้างหุ้นส่วนจำกัด โรงงานยาตราพระ,3,10110
ถักผ้ายืดและตัดเย็บเสื้อกางเกงยืด,คลองเตย,2400,สุขุมวิท 42,กล้วยน้ำไทย, 128.00 ,10100000525614, 358 ,กรุงเทพมหานคร,,34," 3,003.09 ",3-24-5/61,61,พระโขนง,บริษัท โรงงานไทยแลนด์นิตติ้ง จำกัด,7,บริษัท โรงงานไทยแลนด์นิตติ้ง จำกัด,3,10110
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 500 เครื่อง),คลองเตย,2801,สุขุมวิท,สุขุมวิท 42, 25.00 ,10100003025208, 400 ,กรุงเทพมหานคร,,69, 185.80 ,3-28(1)-30/20,20,พระโขนง,บริษัท เมืองทองอาภรณ์ภัณฑ์ จำกัด,8,บริษัท เมืองทองอาภรณ์ภัณฑ์ จำกัด,3,10110
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 80 เครื่อง),คลองเตย,2801,สุขุมวิท,สุขุมวิท 42 (กล้วยน้ำไท), 0.60 ,10100011625320, 82 ,กรุงเทพมหานคร,,59, 27.40 ,3-28(1)-116/32,32,พระโขนง,บริษัท เอช.เค.ซี.(1989) จำกัด,9,บริษัท เอช.เค.ซี.(1989) จำกัด,3,10110
ตัดเย็บเสื้อผ้าสำเร็จรูป,คลองเตย,2801,สุขุมวิท,ปิยะวัชร, -   ,10100001125414, 86 ,กรุงเทพมหานคร,,1112/53-75, 54.52 ,3-28(1)-11/41,41,พระโขนง,บริษัท ศิริชัยเกียรติ จำกัด,10,บริษัท ศิริชัยเกียรติ จำกัด,3,10110
