_id,ปี,ที่มา,ไม่ประจำทาง,อันดับ,เดือน,ส่วนบุคคล,หน่วย,ลักษณะรถ
1,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,38,1,มกราคม,37,คัน,กระบะบรรทุก
2,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,46,1,มกราคม,9,คัน,ตู้บรรทุก
3,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,1,มกราคม,1,คัน,บรรทุกของเหลว
4,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,1,มกราคม,0,คัน,บรรทุกวัตถุอันตราย
5,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,11,1,มกราคม,10,คัน,บรรทุกเฉพาะกิจ
6,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,18,1,มกราคม,0,คัน,รถพ่วง
7,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,59,1,มกราคม,2,คัน,รถกึ่งพ่วง
8,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,43,1,มกราคม,4,คัน,ลากจูง
9,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,30,2,กุมภาพันธ์ ,17,คัน,กระบะบรรทุก
10,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,69,2,กุมภาพันธ์ ,6,คัน,ตู้บรรทุก
11,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,2,กุมภาพันธ์ ,0,คัน,บรรทุกของเหลว
12,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,2,กุมภาพันธ์ ,0,คัน,บรรทุกวัตถุอันตราย
13,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,22,2,กุมภาพันธ์ ,5,คัน,บรรทุกเฉพาะกิจ
14,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,10,2,กุมภาพันธ์ ,4,คัน,รถพ่วง
15,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,45,2,กุมภาพันธ์ ,0,คัน,รถกึ่งพ่วง
16,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,61,2,กุมภาพันธ์ ,0,คัน,ลากจูง
17,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,37,3,มีนาคม,20,คัน,กระบะบรรทุก
18,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,92,3,มีนาคม,1,คัน,ตู้บรรทุก
19,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,3,มีนาคม,0,คัน,บรรทุกของเหลว
20,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,3,มีนาคม,0,คัน,บรรทุกวัตถุอันตราย
21,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,8,3,มีนาคม,1,คัน,บรรทุกเฉพาะกิจ
22,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,3,มีนาคม,1,คัน,รถพ่วง
23,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,67,3,มีนาคม,2,คัน,รถกึ่งพ่วง
24,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,79,3,มีนาคม,4,คัน,ลากจูง
25,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,34,4,เมษายน,15,คัน,กระบะบรรทุก
26,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,44,4,เมษายน,13,คัน,ตู้บรรทุก
27,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,4,เมษายน,1,คัน,บรรทุกของเหลว
28,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,4,เมษายน,0,คัน,บรรทุกวัตถุอันตราย
29,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,17,4,เมษายน,3,คัน,บรรทุกเฉพาะกิจ
30,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,14,4,เมษายน,0,คัน,รถพ่วง
31,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,47,4,เมษายน,3,คัน,รถกึ่งพ่วง
32,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,54,4,เมษายน,2,คัน,ลากจูง
33,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,39,5,พฤษภาคม,5,คัน,กระบะบรรทุก
34,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,51,5,พฤษภาคม,8,คัน,ตู้บรรทุก
35,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,5,พฤษภาคม,0,คัน,บรรทุกของเหลว
36,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,5,พฤษภาคม,2,คัน,บรรทุกวัตถุอันตราย
37,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,31,5,พฤษภาคม,12,คัน,บรรทุกเฉพาะกิจ
