2561,_id,2564,2567,2566,2563,2565,รายการ,2562,2568
605,1,394,412,406,371,400,จำนวนโรงงาน (โรง),357,421
"20,155.02",2,"20,765.57","25,453.69","23,961.92","20,095.60","21,126.41",จำนวนเงินทุน (ล้านบาท),"19,558.61","27,441.73"
"7,503",3,"6,880","8,061","7,797","6,664","7,299",จำนวนคนงาน (คน),"6,363","8,433"
,4,,,,,,,,
,5,,,,,,ข้อมูลปี 2568 ณ วันที่ 11 ธันวาคม 2568,,
