เนื้อที่เพาะปลูก,_id,ปี,อำเภอ,จังหวัด
2734,1,2556,เมืองตราด,ตราด
133,2,2556,เขาสมิง,ตราด
1851,3,2557,เมืองตราด,ตราด
100,4,2557,เขาสมิง,ตราด
1788,5,2558,เมืองตราด,ตราด
68,6,2558,เขาสมิง,ตราด
1556,7,2559,เมืองตราด,ตราด
61,8,2559,เขาสมิง,ตราด
1845,9,2560,เมืองตราด,ตราด
60,10,2560,เขาสมิง,ตราด
2325,11,2561,เมืองตราด,ตราด
48,12,2561,เขาสมิง,ตราด
2523,13,2562,เมืองตราด,ตราด
40,14,2562,เขาสมิง,ตราด
2593,15,2563,เมืองตราด,ตราด
2573,16,2564,เมืองตราด,ตราด
2514,17,2565,เมืองตราด,ตราด
2565,18,2566,เมืองตราด,ตราด
2520,19,2567,เมืองตราด,ตราด
