province,Quarter,item,_id,item_2,year,value,item_1,unit,source
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,1,จำนวนผู้ประกันตน,2568,9130,จำนวนผู้ประกันตน,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,2,เพศชาย,2568,3746,จำนวนผู้ประกันตนตามเพศ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,3,เพศหญิง,2568,5542,จำนวนผู้ประกันตนตามเพศ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,4,ไม่ระบุรายได้,2568,2339,จำนวนผู้ประกันตนตามช่วงรายได้,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,5,"มีรายได้น้อยกว่า 5,000 บาท",2568,2672,จำนวนผู้ประกันตนตามช่วงรายได้,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,6,"มีรายได้ระหว่าง 5,001-7,500 บาท",2568,4277,จำนวนผู้ประกันตนตามช่วงรายได้,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,7,อาชีพรับจ้างทั่วไป,2568,2037,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,8,ไม่ระบุอาชีพ,2568,2345,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,9,อาชีพอิสระอื่น ๆ ,2568,1748,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,10,ทำนา,2568,870,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,11,ค้าขายอื่น ๆ (รวมหาบเร่/แผงลอย),2568,612,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,12,ขายอาหาร,2568,416,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,13,อื่น ๆ ,2568,1102,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,14,ทางเลือกที่ 1,2568,1559,จำนวนผู้ประกันตนตามทางเลือก,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,15,ทางเลือกที่ 2,2568,6945,จำนวนผู้ประกันตนตามทางเลือก,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน,16,ทางเลือกที่ 3,2568,784,จำนวนผู้ประกันตนตามทางเลือก,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,17,จำนวนผู้ประกันตน,2568,7214,จำนวนผู้ประกันตน,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,18,เพศชาย,2568,2786,จำนวนผู้ประกันตนตามเพศ,คน,สำนักงานประกันสังคม
