เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
กุมภาพันธ์,55828,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กุมภาพันธ์,1587,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
กุมภาพันธ์,20782,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
กุมภาพันธ์,5,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
กุมภาพันธ์,56,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
กุมภาพันธ์,20,6,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
กุมภาพันธ์,2,7,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
กุมภาพันธ์,4,8,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
กุมภาพันธ์,163052,9,2565,รย. 12 รถจักรยานยนต์,รถยนต์
กุมภาพันธ์,6663,10,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
กุมภาพันธ์,60,11,2565,รย. 14 รถบดถนน,รถยนต์
กุมภาพันธ์,43,12,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
กุมภาพันธ์,91,13,2565,รย. 16 รถพ่วง,รถยนต์
กุมภาพันธ์,124,14,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
กุมภาพันธ์,37,15,2565,รถโดยสารประจำทาง,รถขนส่ง
กุมภาพันธ์,162,16,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
กุมภาพันธ์,29,17,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
กุมภาพันธ์,2836,18,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
กุมภาพันธ์,3134,19,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
