_id,ปี,จำนวน (คัน),ประเภทรถ,จังหวัด
1,2566,0,รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi,ปทุมธานี
2,2566,38,รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi,นนทบุรี
3,2566,0,รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi,สมุทรปราการ
4,2566,0,รย.10 รถยนต์บริการทัศนาจร Tour Taxi,ปทุมธานี
5,2566,71,รย.10 รถยนต์บริการทัศนาจร Tour Taxi,นนทบุรี
6,2566,3,รย.10 รถยนต์บริการทัศนาจร Tour Taxi,สมุทรปราการ
7,2566,0,รย.11 รถยนต์บริการให้เช่า Car For Hire,ปทุมธานี
8,2566,0,รย.11 รถยนต์บริการให้เช่า Car For Hire,นนทบุรี
9,2566,0,รย.11 รถยนต์บริการให้เช่า Car For Hire,สมุทรปราการ
