จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
630545,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
23330,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
234909,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
91,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
1530,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
1,6,2565,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),รถยนต์
287,7,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
71,8,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
221,9,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
9,10,2565,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
1974495,11,2565,รย. 12 รถจักรยานยนต์,รถยนต์
69945,12,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
851,13,2565,รย. 14 รถบดถนน,รถยนต์
487,14,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
1132,15,2565,รย. 16 รถพ่วง,รถยนต์
1207,16,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
1757,17,2565,รถโดยสารประจำทาง,รถขนส่ง
2790,18,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
468,19,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
36544,20,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
39670,21,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
