จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"118,635,400.00",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,บาท
"118,249,400.00",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,บาท
"153,892,750.00",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,บาท
"152,363,800.00",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,บาท
"145,996,000.00",สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,บาท
"141,026,400.00",สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,บาท
"146,357,400.00",สำนักงานประกันสังคมจังหวัดลพบุรี,7,2568,7,บาท
