ค่าข้อมูล,ประเภท,_id,ปี,หน่วย
" 119,894 ",ผู้ประกันตนตามมาตรา 33,1,2562,ราย
" 19,661 ",ผู้ประกันตนตามมาตรา 39,2,2562,ราย
" 40,393 ",ผู้ประกันตนตามมาตรา 40,3,2562,ราย
" 117,414 ",ผู้ประกันตนตามมาตรา 33,4,2563,ราย
" 20,920 ",ผู้ประกันตนตามมาตรา 39,5,2563,ราย
" 43,625 ",ผู้ประกันตนตามมาตรา 40,6,2563,ราย
" 115,244 ",ผู้ประกันตนตามมาตรา 33,7,2564,ราย
" 22,560 ",ผู้ประกันตนตามมาตรา 39,8,2564,ราย
" 223,157 ",ผู้ประกันตนตามมาตรา 40,9,2564,ราย
" 122,898 ",ผู้ประกันตนตามมาตรา 33,10,2565,ราย
" 21,433 ",ผู้ประกันตนตามมาตรา 39,11,2565,ราย
" 225,331 ",ผู้ประกันตนตามมาตรา 40,12,2565,ราย
" 126,336 ",ผู้ประกันตนตามมาตรา 33,13,2566,ราย
" 19,728 ",ผู้ประกันตนตามมาตรา 39,14,2566,ราย
" 226,391 ",ผู้ประกันตนตามมาตรา 40,15,2566,ราย
