รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
รวม,1,2564,คน,"5,073","10,379",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,2,2564,คน,"9,856","6,179",วิชาชีพด้านต่างๆ
รวม,3,2564,คน,"3,058","3,353",วิชาชีพด้านเทคนิค
รวม,4,2564,คน,"5,354","3,240",เสมียน
รวม,5,2564,คน,"43,435","28,366",พนักงานบริการ
รวม,6,2564,คน,"168,695","182,846",ด้านการเกษตรและประมง
รวม,7,2564,คน,"5,880","23,438",ด้านความสามารถทางฝีมือ
รวม,8,2564,คน,"6,849","16,155",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,9,2564,คน,"18,879","29,657",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,10,2564,คน,"4,283","7,595",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,11,2564,คน,"9,856","5,460",วิชาชีพด้านต่างๆ
แรงงานในระบบ,12,2564,คน,"2,732","3,169",วิชาชีพด้านเทคนิค
แรงงานในระบบ,13,2564,คน,"5,354","3,093",เสมียน
แรงงานในระบบ,14,2564,คน,"12,199","8,494",พนักงานบริการ
แรงงานในระบบ,15,2564,คน,680,"2,338",ด้านการเกษตรและประมง
แรงงานในระบบ,16,2564,คน,"1,119","9,438",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,17,2564,คน,"2,489","8,448",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,18,2564,คน,"8,238","11,276",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,19,2564,คน,790,"2,783",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,20,2564,คน,0,719,วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,21,2564,คน,326,184,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,22,2564,คน,0,146,เสมียน
แรงงานนอกระบบ,23,2564,คน,"31,237","19,872",พนักงานบริการ
แรงงานนอกระบบ,24,2564,คน,"168,015","180,507",ด้านการเกษตรและประมง
แรงงานนอกระบบ,25,2564,คน,"4,761","14,000",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,26,2564,คน,"4,360","7,707",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,27,2564,คน,"10,642","18,381",อาชีพพื้นฐานต่าง ๆ
