2561,_id,2564,2566,2563,2565,ประเภทรถ,2562
"5,305",1,"3,649","4,497","3,965","4,575",รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,"5,392"
32,2,28,83,92,89,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,26
"2,015",3,"1,740","1,617","1,818","2,128",รถยนต์บรรทุกส่วนบุคคล,"2,359"
-,4,-,-,-,1,รถยนต์สามล้อส่วนบุคคล,-
-,5,-,-,-,-,รถยนต์รับจ้างระหว่างจังหวัด,-
-,6,-,-,-,-,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,-
-,7,-,-,-,-,รถยนต์สี่ล้อเล็กรับจ้าง,-
-,8,-,-,-,-,รถยนต์รับจ้างสามล้อ,-
-,9,-,-,-,-,รถยนต์บริการธุรกิจ,-
-,10,-,-,-,-,รถยนต์บริการทัศนาจร,-
-,11,-,-,-,-,รถยนต์บริการให้เช่า,-
"20,427",12,"16,319","21,066","16,319","20,777",รถจักรยานยนต์,"19,372"
489,13,468,232,411,435,รถแทรกเตอร์,453
4,14,20,7,5,19,รถบดถนน,7
-,15,-,-,-,-,รถใช้งานเกษตรกรรม,-
33,16,8,4,38,,รถพ่วง,72
51,17,19,18,29,11,รถจักรยานยนต์สาธารณะ,39
