ค่าข้อมูล,ที่มา,_id,ปี,ชนิดพืช,อำเภอ,รายการ,หน่วย
-,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2566,อ้อยโรงงาน,ปักธงชัย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2566,อ้อยโรงงาน,ปากช่อง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2566,อ้อยโรงงาน,พระทองคำ,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,15,2566,อ้อยโรงงาน,พิมาย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,16,2566,อ้อยโรงงาน,ลำทะเมนชัย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,17,2566,อ้อยโรงงาน,วังน้ำเขียว,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,18,2566,อ้อยโรงงาน,สีคิ้ว,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,19,2566,อ้อยโรงงาน,สีดา,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,20,2566,อ้อยโรงงาน,สูงเนิน,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,21,2566,อ้อยโรงงาน,หนองบุญมาก,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,22,2566,อ้อยโรงงาน,ห้วยแถลง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,23,2566,อ้อยโรงงาน,เฉลิมพระเกียรติ,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,24,2566,อ้อยโรงงาน,เทพารักษ์,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,25,2566,อ้อยโรงงาน,เมืองนครราชสีมา,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,26,2566,อ้อยโรงงาน,เมืองยาง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,27,2566,อ้อยโรงงาน,เสิงสาง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
