_id,ปี,อำเภอ,เนื้อที่ปลูก,หน่วย
1,2562,เมืองจันทบุรี,458,ไร่
2,2562,ขลุง,1090,ไร่
3,2562,ท่าใหม่,78,ไร่
4,2562,โป่งน้ำร้อน,1643,ไร่
5,2562,มะขาม,137536,ไร่
6,2562,แหลมสิงห์,1712,ไร่
7,2562,สอยดาว,149495,ไร่
8,2562,แก่งหางแมว,2895,ไร่
9,2562,นายายอาม,786,ไร่
10,2562,เขาคิชฌกูฏ,1361,ไร่
11,2563,เมืองจันทบุรี,459,ไร่
12,2563,ขลุง,820,ไร่
13,2563,ท่าใหม่,1788,ไร่
14,2563,โป่งน้ำร้อน,137807,ไร่
15,2563,มะขาม,1096,ไร่
16,2563,แหลมสิงห์,68,ไร่
17,2563,สอยดาว,150045,ไร่
18,2563,แก่งหางแมว,2612,ไร่
19,2563,นายายอาม,856,ไร่
20,2563,เขาคิชฌกูฏ,1089,ไร่
21,2564,เมืองจันทบุรี,365,ไร่
22,2564,ขลุง,765,ไร่
23,2564,ท่าใหม่,1704,ไร่
24,2564,โป่งน้ำร้อน,137589,ไร่
25,2564,มะขาม,1054,ไร่
26,2564,แหลมสิงห์,68,ไร่
27,2564,สอยดาว,149987,ไร่
28,2564,แก่งหางแมว,2564,ไร่
29,2564,นายายอาม,819,ไร่
30,2564,เขาคิชฌกูฏ,1025,ไร่
31,2565,เมืองจันทบุรี,362,ไร่
32,2565,ขลุง,700,ไร่
33,2565,ท่าใหม่,1287,ไร่
34,2565,โป่งน้ำร้อน,133729,ไร่
35,2565,มะขาม,995,ไร่
36,2565,แหลมสิงห์,56,ไร่
37,2565,สอยดาว,145226,ไร่
38,2565,แก่งหางแมว,2090,ไร่
39,2565,นายายอาม,722,ไร่
40,2565,เขาคิชฌกูฏ,532,ไร่
41,2566,เมืองจันทบุรี,186,ไร่
42,2566,ขลุง,165,ไร่
43,2566,ท่าใหม่,912,ไร่
44,2566,โป่งน้ำร้อน,119731,ไร่
45,2566,มะขาม,883,ไร่
46,2566,แหลมสิงห์,30,ไร่
47,2566,สอยดาว,143205,ไร่
48,2566,แก่งหางแมว,1595,ไร่
49,2566,นายายอาม,506,ไร่
50,2566,เขาคิชฌกูฏ,375,ไร่
51,2567,เมืองจันทบุรี,161,ไร่
52,2567,ขลุง,179,ไร่
53,2567,ท่าใหม่,198,ไร่
54,2567,โป่งน้ำร้อน,114589,ไร่
55,2567,มะขาม,727,ไร่
56,2567,แหลมสิงห์,18,ไร่
57,2567,สอยดาว,141507,ไร่
58,2567,แก่งหางแมว,478,ไร่
59,2567,นายายอาม,150,ไร่
60,2567,เขาคิชฌกูฏ,255,ไร่
