จำนวน,ที่มา,_id,ปี,ประเภท พรบ.,รายการ,จังหวัด,หน่วย
"208,786,985",สำนักงานขนส่งจังหวัดภูเก็ต,1,2560,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"25,878,283",สำนักงานขนส่งจังหวัดภูเก็ต,2,2560,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"176,886,215",สำนักงานขนส่งจังหวัดภูเก็ต,3,2561,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"27,380,227",สำนักงานขนส่งจังหวัดภูเก็ต,4,2561,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"248,640,993",สำนักงานขนส่งจังหวัดภูเก็ต,5,2562,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"29,545,271",สำนักงานขนส่งจังหวัดภูเก็ต,6,2562,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"240,487,802",สำนักงานขนส่งจังหวัดภูเก็ต,7,2563,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"25,508,292",สำนักงานขนส่งจังหวัดภูเก็ต,8,2563,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"212,636,734",สำนักงานขนส่งจังหวัดภูเก็ต,9,2564,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"22,101,445",สำนักงานขนส่งจังหวัดภูเก็ต,10,2564,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"315,521,565",สำนักงานขนส่งจังหวัดภูเก็ต,11,2565,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"23,695,293",สำนักงานขนส่งจังหวัดภูเก็ต,12,2565,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"309,801,575",สำนักงานขนส่งจังหวัดภูเก็ต,13,2566,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"20,801,460",สำนักงานขนส่งจังหวัดภูเก็ต,14,2566,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"26,587,750",สำนักงานขนส่งจังหวัดภูเก็ต,15,2567,การขนส่งทางบก พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
"341,851,676",สำนักงานขนส่งจังหวัดภูเก็ต,16,2567,รถยนต์ พ.ศ. 2522,รายได้เกี่ยวกับการจัดเก็บภาษีรถที่จดทะเบียน,ภูเก็ต,บาท
