จำนวน,ที่มา,_id,ปี,ไตรมาส,จังหวัด,หน่วย
9.35,สำนักงานสถิติจังหวัดนราธิวาส,1,2564,1/2564,นราธิวาส,ร้อยละ
7.77,สำนักงานสถิติจังหวัดนราธิวาส,2,2564,2/2564,นราธิวาส,ร้อยละ
8.07,สำนักงานสถิติจังหวัดนราธิวาส,3,2564,3/2564,นราธิวาส,ร้อยละ
8.69,สำนักงานสถิติจังหวัดนราธิวาส,4,2564,4/2564,นราธิวาส,ร้อยละ
6.58,สำนักงานสถิติจังหวัดนราธิวาส,5,2565,1/2565,นราธิวาส,ร้อยละ
6.91,สำนักงานสถิติจังหวัดนราธิวาส,6,2565,2/2565,นราธิวาส,ร้อยละ
7.5,สำนักงานสถิติจังหวัดนราธิวาส,7,2565,3/2565,นราธิวาส,ร้อยละ
6.4,สำนักงานสถิติจังหวัดนราธิวาส,8,2565,4/2565,นราธิวาส,ร้อยละ
4.82,สำนักงานสถิติจังหวัดนราธิวาส,9,2566,1/2566,นราธิวาส,ร้อยละ
5.01,สำนักงานสถิติจังหวัดนราธิวาส,10,2566,2/2566,นราธิวาส,ร้อยละ
5.54,สำนักงานสถิติจังหวัดนราธิวาส,11,2566,3/2566,นราธิวาส,ร้อยละ
3.15,สำนักงานสถิติจังหวัดนราธิวาส,12,2566,4/2566,นราธิวาส,ร้อยละ
4.79,สำนักงานสถิติจังหวัดนราธิวาส,13,2567,1/2567,นราธิวาส,ร้อยละ
3.92,สำนักงานสถิติจังหวัดนราธิวาส,14,2567,2/2567,นราธิวาส,ร้อยละ
4.62,สำนักงานสถิติจังหวัดนราธิวาส,15,2567,3/2567,นราธิวาส,ร้อยละ
2.79,สำนักงานสถิติจังหวัดนราธิวาส,16,2567,4/2567,นราธิวาส,ร้อยละ
1.99,สำนักงานสถิติจังหวัดนราธิวาส,17,2568,1/2568,นราธิวาส,ร้อยละ
1.88,สำนักงานสถิติจังหวัดนราธิวาส,18,2568,2/2568,นราธิวาส,ร้อยละ
2.43,สำนักงานสถิติจังหวัดนราธิวาส,19,2568,3/2568,นราธิวาส,ร้อยละ
