สาขา,จำนวน,กิจกรรมทางเศรษฐกิจ,_id,ปี พ.ศ.,เพศ,ไตรมาส,หน่วย
เกษตรกรรม การป่าไม้ และการประมง,"55,202",ภาคเกษตรกรรม,1,2566,ชาย,1,คน
เกษตรกรรม การป่าไม้ และการประมง,"31,405",นอกภาคเกษตรกรรม,2,2566,หญิง,1,คน
การทำเหมืองแร่และเหมืองหิน,639,นอกภาคเกษตรกรรม,3,2566,ชาย,1,คน
การทำเหมืองแร่และเหมืองหิน,-,นอกภาคเกษตรกรรม,4,2566,หญิง,1,คน
การผลิต,"21,186",นอกภาคเกษตรกรรม,5,2566,ชาย,1,คน
การผลิต,"37,254",นอกภาคเกษตรกรรม,6,2566,หญิง,1,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,400,นอกภาคเกษตรกรรม,7,2566,ชาย,1,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,-,นอกภาคเกษตรกรรม,8,2566,หญิง,1,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,-,นอกภาคเกษตรกรรม,9,2566,ชาย,1,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,-,นอกภาคเกษตรกรรม,10,2566,หญิง,1,คน
การก่อสร้าง,"10,190",นอกภาคเกษตรกรรม,11,2566,ชาย,1,คน
การก่อสร้าง,322,นอกภาคเกษตรกรรม,12,2566,หญิง,1,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"11,988",นอกภาคเกษตรกรรม,13,2566,ชาย,1,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"17,556",นอกภาคเกษตรกรรม,14,2566,หญิง,1,คน
การขนส่ง และสถานที่เก็บสินค้า,"1,877",นอกภาคเกษตรกรรม,15,2566,ชาย,1,คน
การขนส่ง และสถานที่เก็บสินค้า,739,นอกภาคเกษตรกรรม,16,2566,หญิง,1,คน
ที่พักแรม และบริการด้านอาหาร,"2,692",นอกภาคเกษตรกรรม,17,2566,ชาย,1,คน
ที่พักแรม และบริการด้านอาหาร,"8,030",นอกภาคเกษตรกรรม,18,2566,หญิง,1,คน
ข้อมูลข่าวสารและการสื่อสาร,"1,337",นอกภาคเกษตรกรรม,19,2566,ชาย,1,คน
ข้อมูลข่าวสารและการสื่อสาร,-,นอกภาคเกษตรกรรม,20,2566,หญิง,1,คน
กิจการทางการเงินและการประกันภัย,"1,591",นอกภาคเกษตรกรรม,21,2566,ชาย,1,คน
กิจการทางการเงินและการประกันภัย,"1,045",นอกภาคเกษตรกรรม,22,2566,หญิง,1,คน
กิจการอสังหาริมทรัพย์,316,นอกภาคเกษตรกรรม,23,2566,ชาย,1,คน
