จำนวน,ที่มา,หน่วย1,_id,ปี,ร้อยละ,เพศ,อุตสาหกรรม,หน่วย2
213,สำนักงานสถิติจังหวัดอุทัยธานี,คน,34,2565,0.3,หญิง,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
4448,สำนักงานสถิติจังหวัดอุทัยธานี,คน,35,2565,6.4,หญิง,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
3919,สำนักงานสถิติจังหวัดอุทัยธานี,คน,36,2565,5.7,หญิง,การศึกษา,เปอร์เซ็นต์
2938,สำนักงานสถิติจังหวัดอุทัยธานี,คน,37,2565,4.2,หญิง,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
226,สำนักงานสถิติจังหวัดอุทัยธานี,คน,38,2565,0.3,หญิง,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
1214,สำนักงานสถิติจังหวัดอุทัยธานี,คน,39,2565,1.8,หญิง,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
331,สำนักงานสถิติจังหวัดอุทัยธานี,คน,40,2565,0.5,หญิง,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
46602,สำนักงานสถิติจังหวัดอุทัยธานี,คน,41,2564,58.8,ชาย,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
133,สำนักงานสถิติจังหวัดอุทัยธานี,คน,42,2564,0.2,ชาย,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
3290,สำนักงานสถิติจังหวัดอุทัยธานี,คน,43,2564,4.2,ชาย,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
513,สำนักงานสถิติจังหวัดอุทัยธานี,คน,44,2564,0.6,ชาย,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
210,สำนักงานสถิติจังหวัดอุทัยธานี,คน,45,2564,0.3,ชาย,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
6242,สำนักงานสถิติจังหวัดอุทัยธานี,คน,46,2564,7.9,ชาย,การก่อสร้าง,เปอร์เซ็นต์
9144,สำนักงานสถิติจังหวัดอุทัยธานี,คน,47,2564,11.5,ชาย,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
1582,สำนักงานสถิติจังหวัดอุทัยธานี,คน,48,2564,2,ชาย,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
2337,สำนักงานสถิติจังหวัดอุทัยธานี,คน,49,2564,2.9,ชาย,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
119,สำนักงานสถิติจังหวัดอุทัยธานี,คน,50,2564,0.2,ชาย,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
498,สำนักงานสถิติจังหวัดอุทัยธานี,คน,51,2564,0.6,ชาย,การเงินและการประกันภัย,เปอร์เซ็นต์
52,สำนักงานสถิติจังหวัดอุทัยธานี,คน,52,2564,0.1,ชาย,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
641,สำนักงานสถิติจังหวัดอุทัยธานี,คน,53,2564,0.8,ชาย,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
121,สำนักงานสถิติจังหวัดอุทัยธานี,คน,54,2564,0.2,ชาย,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
4443,สำนักงานสถิติจังหวัดอุทัยธานี,คน,55,2564,5.6,ชาย,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
1460,สำนักงานสถิติจังหวัดอุทัยธานี,คน,56,2564,1.8,ชาย,การศึกษา,เปอร์เซ็นต์
473,สำนักงานสถิติจังหวัดอุทัยธานี,คน,57,2564,0.6,ชาย,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
534,สำนักงานสถิติจังหวัดอุทัยธานี,คน,58,2564,0.7,ชาย,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
742,สำนักงานสถิติจังหวัดอุทัยธานี,คน,59,2564,0.9,ชาย,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
89,สำนักงานสถิติจังหวัดอุทัยธานี,คน,60,2564,0.1,ชาย,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
32010,สำนักงานสถิติจังหวัดอุทัยธานี,คน,61,2564,46.5,หญิง,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
27,สำนักงานสถิติจังหวัดอุทัยธานี,คน,62,2564,0,หญิง,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
4660,สำนักงานสถิติจังหวัดอุทัยธานี,คน,63,2564,6.8,หญิง,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,64,2564,0,หญิง,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
245,สำนักงานสถิติจังหวัดอุทัยธานี,คน,65,2564,0.4,หญิง,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
1783,สำนักงานสถิติจังหวัดอุทัยธานี,คน,66,2564,2.6,หญิง,การก่อสร้าง,เปอร์เซ็นต์
9826,สำนักงานสถิติจังหวัดอุทัยธานี,คน,67,2564,14.3,หญิง,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
374,สำนักงานสถิติจังหวัดอุทัยธานี,คน,68,2564,0.5,หญิง,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
5189,สำนักงานสถิติจังหวัดอุทัยธานี,คน,69,2564,7.5,หญิง,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
22,สำนักงานสถิติจังหวัดอุทัยธานี,คน,70,2564,0,หญิง,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
742,สำนักงานสถิติจังหวัดอุทัยธานี,คน,71,2564,1.1,หญิง,การเงินและการประกันภัย,เปอร์เซ็นต์
8,สำนักงานสถิติจังหวัดอุทัยธานี,คน,72,2564,0,หญิง,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
508,สำนักงานสถิติจังหวัดอุทัยธานี,คน,73,2564,0.7,หญิง,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
256,สำนักงานสถิติจังหวัดอุทัยธานี,คน,74,2564,0.4,หญิง,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
5222,สำนักงานสถิติจังหวัดอุทัยธานี,คน,75,2564,7.6,หญิง,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
3040,สำนักงานสถิติจังหวัดอุทัยธานี,คน,76,2564,4.4,หญิง,การศึกษา,เปอร์เซ็นต์
