จำนวน,_id,ปี,หน่วยวัด
2450242,1,2560,ไร่
2879223,2,2561,ไร่
2316925,3,2562,ไร่
2422517,4,2563,ไร่
2418771,5,2564,ไร่
2330107,6,2565,ไร่
2269524,7,2566,ไร่
2239376,8,2567,ไร่
