ที่มา,_id,ปี,ค่า,อำเภอ,รายการ,จังหวัด,หน่วย
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,1,2561,4336.7,เมืองกาฬสินธุ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,2,2561,40.2,นามน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,3,2561,889.6,กมลาไสย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,4,2561,27.8,ร่องคำ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,5,2561,10175.0,กุฉินารายณ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,6,2561,53.3,เขาวง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,7,2561,1490.5,ยางตลาด,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,8,2561,110.4,ห้วยเม็ก,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,9,2561,99.5,สหัสขันธ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,10,2561,89.3,คำม่วง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,11,2561,433.7,ท่าคันโท,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,12,2561,94.6,หนองกุงศรี,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,13,2561,523.2,สมเด็จ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,14,2561,726.9,ห้วยผึ้ง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,15,2561,971.5,สามชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,16,2561,11.2,นาคู,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,17,2561,33.6,ดอนจาน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,18,2561,119.3,ฆ้องชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,19,2562,4081.5,เมืองกาฬสินธุ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,20,2562,31.2,นามน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,21,2562,861.7,กมลาไสย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,22,2562,25.2,ร่องคำ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,23,2562,10085.8,กุฉินารายณ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,24,2562,37.7,เขาวง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,25,2562,1291.7,ยางตลาด,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,26,2562,67.8,ห้วยเม็ก,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
