ประเภท,_id,ปี,ผู้สูงวัยในระบบ,จังหวัด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,47,2565,40,เชียงราย
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,48,2565,333,เชียงราย
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,49,2565,385,เชียงราย
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,50,2565,79,เชียงใหม่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,51,2565,326,เชียงใหม่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,52,2565,760,เชียงใหม่
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,53,2565,1165,เชียงใหม่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,54,2565,8,ตรัง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,55,2565,7,ตรัง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,56,2565,331,ตรัง
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,57,2565,346,ตรัง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,58,2565,4,ตราด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,59,2565,5,ตราด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,60,2565,156,ตราด
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,61,2565,165,ตราด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,62,2565,2,ตาก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,63,2565,9,ตาก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,64,2565,124,ตาก
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,65,2565,135,ตาก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,66,2565,9,นครนายก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,67,2565,19,นครนายก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,68,2565,74,นครนายก
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,69,2565,102,นครนายก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,70,2565,33,นครปฐม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,71,2565,80,นครปฐม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,72,2565,257,นครปฐม
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,73,2565,370,นครปฐม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,74,2565,0,นครพนม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,75,2565,5,นครพนม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,76,2565,115,นครพนม
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,77,2565,120,นครพนม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,78,2565,44,นครราชสีมา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,79,2565,41,นครราชสีมา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,80,2565,338,นครราชสีมา
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,81,2565,423,นครราชสีมา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,82,2565,5,นครศรีธรรมราช
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,83,2565,17,นครศรีธรรมราช
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,84,2565,389,นครศรีธรรมราช
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,85,2565,411,นครศรีธรรมราช
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,86,2565,16,นครสวรรค์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,87,2565,16,นครสวรรค์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,88,2565,355,นครสวรรค์
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,89,2565,387,นครสวรรค์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,90,2565,85,นนทบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,91,2565,216,นนทบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,92,2565,312,นนทบุรี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,93,2565,613,นนทบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,94,2565,1,นราธิวาส
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,95,2565,6,นราธิวาส
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,96,2565,114,นราธิวาส
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,97,2565,121,นราธิวาส
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,98,2565,5,น่าน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,99,2565,5,น่าน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,100,2565,243,น่าน
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,101,2565,253,น่าน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,102,2565,1,บึงกาฬ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,103,2565,1,บึงกาฬ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,104,2565,79,บึงกาฬ
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,105,2565,81,บึงกาฬ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,106,2565,5,บุรีรัมย์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,107,2565,9,บุรีรัมย์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,108,2565,303,บุรีรัมย์
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,109,2565,317,บุรีรัมย์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,110,2565,82,ปทุมธานี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,111,2565,284,ปทุมธานี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,112,2565,345,ปทุมธานี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,113,2565,711,ปทุมธานี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,114,2565,3,ประจวบคีรีขันธ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,115,2565,9,ประจวบคีรีขันธ์
