_id,ปี,ค่า,เจ้าของ,ไตรมาส,หน่วย
1,2563,475686,สำนักงานสถิติจังหวัดสุรินทร์,1,คน
2,2563,504300,สำนักงานสถิติจังหวัดสุรินทร์,2,คน
3,2563,541610,สำนักงานสถิติจังหวัดสุรินทร์,3,คน
4,2563,548977,สำนักงานสถิติจังหวัดสุรินทร์,4,คน
5,2564,510216,สำนักงานสถิติจังหวัดสุรินทร์,1,คน
6,2564,515563,สำนักงานสถิติจังหวัดสุรินทร์,2,คน
7,2564,545687,สำนักงานสถิติจังหวัดสุรินทร์,3,คน
8,2564,527960,สำนักงานสถิติจังหวัดสุรินทร์,4,คน
9,2565,448884,สำนักงานสถิติจังหวัดสุรินทร์,1,คน
10,2565,492976,สำนักงานสถิติจังหวัดสุรินทร์,2,คน
11,2565,538236,สำนักงานสถิติจังหวัดสุรินทร์,3,คน
12,2565,505096,สำนักงานสถิติจังหวัดสุรินทร์,4,คน
13,2566,450378,สำนักงานสถิติจังหวัดสุรินทร์,1,คน
14,2566,470217,สำนักงานสถิติจังหวัดสุรินทร์,2,คน
15,2566,506485,สำนักงานสถิติจังหวัดสุรินทร์,3,คน
16,2566,519593,สำนักงานสถิติจังหวัดสุรินทร์,4,คน
17,2567,454111,สำนักงานสถิติจังหวัดสุรินทร์,1,คน
18,2567,479110,สำนักงานสถิติจังหวัดสุรินทร์,2,คน
19,2567,541049,สำนักงานสถิติจังหวัดสุรินทร์,3,คน
20,2567,524680,สำนักงานสถิติจังหวัดสุรินทร์,4,คน
