2565.0,2568.0,2567.0,2566.0,_id,2561.0,2563.0,รายการ,2564.0,2562.0
107,110,110,107,1,191,100,เมืองกาฬสินธุ์,107,97
5,5,5,5,2,6,3,นามน,6,5
26,26,24,24,3,40,22,กมลาไสย,25,18
3,3,3,3,4,5,3,ร่องคำ,3,3
29,31,29,29,5,43,28,กุฉินารายณ์,29,25
5,4,5,5,6,10,4,เขาวง,5,6
64,73,70,69,7,90,60,ยางตลาด,61,56
14,13,13,14,8,16,14,ห้วยเม็ก,13,12
14,16,15,14,9,16,13,สหัสขันธ์,14,12
14,12,14,14,10,18,13,คำม่วง,13,14
13,15,14,14,11,15,13,ท่าคันโท,14,12
12,14,14,13,12,19,11,หนองกุงศรี,12,12
55,56,56,56,13,74,51,สมเด็จ,54,52
14,14,14,14,14,19,14,ห้วยผึ้ง,14,11
7,9,7,7,15,8,5,สามชัย,7,8
2,2,2,2,16,6,2,นาคู,2,1
7,7,7,7,17,6,6,ดอนจาน,6,5
9,11,10,9,18,23,9,ฆ้องชัย,9,8
,,,,19,,,,,
,,,,20,,,ข้อมูลปี 2568 ณ วันที่ 11 ธันวาคม 2568,,
