﻿year,sex,quarter,_id,region,value,unit,age_group,source
2555,ชาย,ไตรมาส 1,1,กรุงเทพมหานคร,32.7,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,2,กรุงเทพมหานคร,21.7,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,3,กรุงเทพมหานคร,81.9,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,4,กรุงเทพมหานคร,79.6,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,5,กรุงเทพมหานคร,179.2,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,6,กรุงเทพมหานคร,195.1,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,7,กรุงเทพมหานคร,301.2,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,8,กรุงเทพมหานคร,322.4,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,9,กรุงเทพมหานคร,329.0,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,10,กรุงเทพมหานคร,337.0,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,11,กรุงเทพมหานคร,567.0,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,12,กรุงเทพมหานคร,561.2,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,13,กรุงเทพมหานคร,379.2,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,14,กรุงเทพมหานคร,323.2,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,15,กรุงเทพมหานคร,115.1,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,16,กรุงเทพมหานคร,77.7,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,17,ภาคกลาง,186.0,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,18,ภาคกลาง,104.0,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,19,ภาคกลาง,460.9,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,20,ภาคกลาง,378.0,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,21,ภาคกลาง,582.4,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,22,ภาคกลาง,519.5,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,23,ภาคกลาง,659.7,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,24,ภาคกลาง,585.6,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,25,ภาคกลาง,663.8,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,26,ภาคกลาง,611.0,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,27,ภาคกลาง,1252.2,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,28,ภาคกลาง,1159.0,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,29,ภาคกลาง,869.6,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,30,ภาคกลาง,766.3,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,31,ภาคกลาง,373.0,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,32,ภาคกลาง,325.0,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,33,ภาคเหนือ,153.1,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,34,ภาคเหนือ,66.1,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,35,ภาคเหนือ,369.2,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,36,ภาคเหนือ,248.3,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,37,ภาคเหนือ,455.8,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,38,ภาคเหนือ,352.2,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,39,ภาคเหนือ,422.6,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,40,ภาคเหนือ,342.9,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,41,ภาคเหนือ,403.0,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,42,ภาคเหนือ,367.9,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,43,ภาคเหนือ,917.5,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 4,44,กรุงเทพมหานคร,34.93,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 4,45,ภาคกลาง,355.87,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2568,หญิง,ไตรมาส 4,46,ภาคกลาง,866.32,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2568,หญิง,ไตรมาส 4,47,ภาคตะวันออก,325.37,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 4,48,ภาคตะวันออกเฉียงเหนือ,476.7,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 4,49,ภาคเหนือ,343.14,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 4,50,ภาคใต้,46.07,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2568,หญิง,ไตรมาส 4,51,ภาคใต้,453.72,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,52,ภาคเหนือ,884.7,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,53,ภาคเหนือ,803.1,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,54,ภาคเหนือ,708.1,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,55,ภาคเหนือ,376.2,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,56,ภาคเหนือ,273.6,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,57,ภาคตะวันออกเฉียงเหนือ,265.7,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,58,ภาคตะวันออกเฉียงเหนือ,119.8,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,59,ภาคตะวันออกเฉียงเหนือ,694.6,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,60,ภาคตะวันออกเฉียงเหนือ,443.7,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,61,ภาคตะวันออกเฉียงเหนือ,829.0,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,62,ภาคตะวันออกเฉียงเหนือ,632.1,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,63,ภาคตะวันออกเฉียงเหนือ,765.1,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,64,ภาคตะวันออกเฉียงเหนือ,619.7,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,65,ภาคตะวันออกเฉียงเหนือ,790.9,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,66,ภาคตะวันออกเฉียงเหนือ,694.8,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,67,ภาคตะวันออกเฉียงเหนือ,1625.0,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,68,ภาคตะวันออกเฉียงเหนือ,1374.6,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2555,ชาย,ไตรมาส 1,69,ภาคตะวันออกเฉียงเหนือ,1220.7,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2555,หญิง,ไตรมาส 1,70,ภาคตะวันออกเฉียงเหนือ,942.0,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
