รถจดทะเบียนใหม่,_id,ปี,รถจดทะเบียนสะสม,ประเภทรถ
66,1,2562, 792 ,รถโดยสาร
666,2,2562," 11,238 ",รถบรรทุก
22,3,2563, 737 ,รถโดยสาร
731,4,2563," 11,693 ",รถบรรทุก
8,5,2564, 669 ,รถโดยสาร
780,6,2564," 12,105 ",รถบรรทุก
25,7,2565, 641 ,รถโดยสาร
724,8,2565," 12,306 ",รถบรรทุก
12,9,2566, 615 ,รถโดยสาร
675,10,2566," 12,373 ",รถบรรทุก
