จำนวน,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
195188,สำนักงานเกษตรจังหวัดพิจิตร,1,2564,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
117358,สำนักงานเกษตรจังหวัดพิจิตร,2,2564,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
139383,สำนักงานเกษตรจังหวัดพิจิตร,3,2564,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
205700,สำนักงานเกษตรจังหวัดพิจิตร,4,2564,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
184479,สำนักงานเกษตรจังหวัดพิจิตร,5,2564,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
201578,สำนักงานเกษตรจังหวัดพิจิตร,6,2564,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
159185,สำนักงานเกษตรจังหวัดพิจิตร,7,2564,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
157114,สำนักงานเกษตรจังหวัดพิจิตร,8,2564,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
59650,สำนักงานเกษตรจังหวัดพิจิตร,9,2564,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
97085,สำนักงานเกษตรจังหวัดพิจิตร,10,2564,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
91481,สำนักงานเกษตรจังหวัดพิจิตร,11,2564,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
123939,สำนักงานเกษตรจังหวัดพิจิตร,12,2564,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
199033,สำนักงานเกษตรจังหวัดพิจิตร,13,2565,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
118963,สำนักงานเกษตรจังหวัดพิจิตร,14,2565,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
153157,สำนักงานเกษตรจังหวัดพิจิตร,15,2565,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
209408,สำนักงานเกษตรจังหวัดพิจิตร,16,2565,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
191474,สำนักงานเกษตรจังหวัดพิจิตร,17,2565,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
214059,สำนักงานเกษตรจังหวัดพิจิตร,18,2565,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
166148,สำนักงานเกษตรจังหวัดพิจิตร,19,2565,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
155047,สำนักงานเกษตรจังหวัดพิจิตร,20,2565,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
59989,สำนักงานเกษตรจังหวัดพิจิตร,21,2565,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
115069,สำนักงานเกษตรจังหวัดพิจิตร,22,2565,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
94906,สำนักงานเกษตรจังหวัดพิจิตร,23,2565,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
127057,สำนักงานเกษตรจังหวัดพิจิตร,24,2565,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
201869,สำนักงานเกษตรจังหวัดพิจิตร,25,2566,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
117839,สำนักงานเกษตรจังหวัดพิจิตร,26,2566,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
154727,สำนักงานเกษตรจังหวัดพิจิตร,27,2566,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
207419,สำนักงานเกษตรจังหวัดพิจิตร,28,2566,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
188491,สำนักงานเกษตรจังหวัดพิจิตร,29,2566,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
218149,สำนักงานเกษตรจังหวัดพิจิตร,30,2566,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
169593,สำนักงานเกษตรจังหวัดพิจิตร,31,2566,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
156423,สำนักงานเกษตรจังหวัดพิจิตร,32,2566,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
60557,สำนักงานเกษตรจังหวัดพิจิตร,33,2566,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
113483,สำนักงานเกษตรจังหวัดพิจิตร,34,2566,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
94353,สำนักงานเกษตรจังหวัดพิจิตร,35,2566,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
125221,สำนักงานเกษตรจังหวัดพิจิตร,36,2566,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
196118,สำนักงานเกษตรจังหวัดพิจิตร,37,2567,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
117901,สำนักงานเกษตรจังหวัดพิจิตร,38,2567,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
151294,สำนักงานเกษตรจังหวัดพิจิตร,39,2567,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
205270,สำนักงานเกษตรจังหวัดพิจิตร,40,2567,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
189392,สำนักงานเกษตรจังหวัดพิจิตร,41,2567,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
223721,สำนักงานเกษตรจังหวัดพิจิตร,42,2567,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
173604,สำนักงานเกษตรจังหวัดพิจิตร,43,2567,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
154066,สำนักงานเกษตรจังหวัดพิจิตร,44,2567,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
90199,สำนักงานเกษตรจังหวัดพิจิตร,45,2567,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
111899,สำนักงานเกษตรจังหวัดพิจิตร,46,2567,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
92316,สำนักงานเกษตรจังหวัดพิจิตร,47,2567,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
123094,สำนักงานเกษตรจังหวัดพิจิตร,48,2567,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
196524,สำนักงานเกษตรจังหวัดพิจิตร,49,2568,เมืองพิจิตร,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
120226,สำนักงานเกษตรจังหวัดพิจิตร,50,2568,วังทรายพูน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
152908,สำนักงานเกษตรจังหวัดพิจิตร,51,2568,โพธิ์ประทับช้าง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
207339,สำนักงานเกษตรจังหวัดพิจิตร,52,2568,ตะพานหิน,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
189786,สำนักงานเกษตรจังหวัดพิจิตร,53,2568,บางมูลนาก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
224757,สำนักงานเกษตรจังหวัดพิจิตร,54,2568,โพทะเล,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
171693,สำนักงานเกษตรจังหวัดพิจิตร,55,2568,สามง่าม,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
155179,สำนักงานเกษตรจังหวัดพิจิตร,56,2568,ทับคล้อ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
60248,สำนักงานเกษตรจังหวัดพิจิตร,57,2568,สากเหล็ก,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
113656,สำนักงานเกษตรจังหวัดพิจิตร,58,2568,บึงนาราง,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
94698,สำนักงานเกษตรจังหวัดพิจิตร,59,2568,ดงเจริญ,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
125360,สำนักงานเกษตรจังหวัดพิจิตร,60,2568,วชิรบารมี,เนื้อที่เพาะปลูกข้าวนาปี,พิจิตร,ไร่
