ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,หญิง,ชาย,จังหวัด,หมู่,ประเภท,ปี,เลขทะเบียนโรงงาน,แรงม้ารวม,ระดับ,ตำบล,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
ผลิตน้ำแข็งก้อนเล็ก,63,แม่สอด,10795,1400,,,8, -   ,8,ตาก,6,14,2565,จ3-14-45/57ตก,308.06,ต่ำ,แม่ปะ,15,20630000000000,โรงน้ำแข็งทวีชัยแลนด์,โรงน้ำแข็งทวีชัยแลนด์,3,57,63110,"2,848"
ผลิตน้ำแข็งก้อนเล็ก,63,สามเงา,10795,1400,,,2, -   ,2,ตาก,5,14,2565,จ3-14-53/61ตก,128,ต่ำ,สามเงา,16,20630100000000,โรงน้ำแข็งท่าปุย,โรงน้ำแข็งท่าปุย,3,61,63130,"1,639"
ผลิตน้ำแข็งก้อนเล็ก,63,อุ้มผาง,10795,1400,,,6, -   ,6,ตาก,4,14,2565,จ3-14-1/63ตก,150,ต่ำ,แม่กลอง,17,20630000000000,-,นางยุวณี กลัดสุข,3,63,63170,"11,760"
"ผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง กำลังการผลิต 230,000 ลิตรต่อวัน",63,แม่สอด,20114,1700,-,-,176,35,141,ตาก,4,17,2565,3-17-10/50ตก,"14,738.00",สูง,แม่กุ,18,10630000000000,บริษัท แม่สอดพลังงานสะอาด จำกัด,บริษัท แม่สอดพลังงานสะอาด จำกัด,3,50,63110,"896,025"
ทอถุงเท้า ,63,แม่สอด,13999,2400,,,125,111,14,ตาก,15,24,2565,จ3-24-3/57ตก,"1,042.74",ต่ำ,แม่กาษา,19,20630000000000,บริษัท บีเอ็นซี แม่สอด จำกัด,บริษัท บีเอ็นซี แม่สอด จำกัด,3,57,63110,"6,474"
ทอเสื้อไหมพรม ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,13999,2400,,,190,180,10,ตาก,6,24,2565,จ3-24-10/55ตก,14.85,ต่ำ,ท่าสายลวด,20,20630000000000,บริษัท ฟูลลิ้งค์ จำกัด,บริษัท ฟูลลิ้งค์ จำกัด,3,55,63110,"3,420"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,บัวคูณ,,180,150,30,ตาก,,24,2565,จ3-24-6/41ตก,283.36,ต่ำ,แม่สอด,21,20630000000000,บริษัท เอส ดี แฟชั่น จำกัด,บริษัท เอส ดี แฟชั่น จำกัด,3,41,63110,"16,000"
ทอถุงเท้า,63,แม่สอด,13999,2400,,,77,68,9,ตาก,11,24,2565,จ3-24-10/44ตก,"1,720.07",ต่ำ,แม่ปะ,22,20630000000000,บริษัท ถุงเท้า ท. ไทยรุ่ง จำกัด,บริษัท ถุงเท้า ท. ไทยรุ่ง จำกัด,3,44,63110,"24,120"
"ถัก, ทอเสื้อไหมพรม",63,แม่สอด,13999,2400,ราชการราษฎร์ตำริ,,548,314,234,ตาก,,24,2565,จ3-24-11/42ตก,495.8,ต่ำ,แม่สอด,23,20630000000000,บริษัท โรแยล นิตติ้ง จำกัด,บริษัท โรแยล นิตติ้ง จำกัด,3,42,63110,"3,904"
ทอถุงเท้า ,63,แม่สอด,13999,2400,,,49,29,20,ตาก,2,24,2565,จ3-24-1/57ตก,94.1,ต่ำ,แม่ปะ,24,20630000000000,บริษัท สหมิตรสิ่งทอ จำกัด,บริษัท สหมิตรสิ่งทอ จำกัด,3,57,63110,"2,092"
