จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
38558,1,2559,เกษตรกรรม การป่าไม้ และการประมง,ชาย,1,ชลบุรี
5385,2,2559,การทำเหมืองแร่และเหมืองหิน,ชาย,1,ชลบุรี
212754,3,2559,การผลิต,ชาย,1,ชลบุรี
2224,4,2559,การไฟฟ้า ก๊าซ ไอน้ำ และระบบการปรับอากาศ,ชาย,1,ชลบุรี
1817,5,2559,การจัดหาน้ำ การจัดการน้ำเสียและของเสีย,ชาย,1,ชลบุรี
42115,6,2559,การก่อสร้าง,ชาย,1,ชลบุรี
88576,7,2559,การขายส่งและการขายปลีก การซ่อมยานยนต์,ชาย,1,ชลบุรี
54134,8,2559,การขนส่งและสถานที่เก็บสินค้า,ชาย,1,ชลบุรี
42970,9,2559,กิจกรรมโรงแรมและบริการด้านอาหาร,ชาย,1,ชลบุรี
0,10,2559,ข้อมูลข่าวสารและการสื่อสาร,ชาย,1,ชลบุรี
3678,11,2559,กิจกรรมทางการเงินและการประกันภัย,ชาย,1,ชลบุรี
8489,12,2559,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,ชาย,1,ชลบุรี
6331,13,2559,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,ชาย,1,ชลบุรี
20574,14,2559,กิจกรรมการบริหารและบริการสนับสนุน,ชาย,1,ชลบุรี
22670,15,2559,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,ชาย,1,ชลบุรี
7100,16,2559,การศึกษา,ชาย,1,ชลบุรี
2192,17,2559,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,ชาย,1,ชลบุรี
2147,18,2559,ศิลปะ ความบันเทิงและนันทนาการ,ชาย,1,ชลบุรี
10163,19,2559,กิจกรรมการบริการด้านอื่น ๆ,ชาย,1,ชลบุรี
2241,20,2559,กิจกรรมการจ้างงานในครัวเรือน,ชาย,1,ชลบุรี
0,21,2559,กิจกรรมขององค์การระหว่างประเทศ,ชาย,1,ชลบุรี
0,22,2559,ไม่ทราบ,ชาย,1,ชลบุรี
15423,23,2559,เกษตรกรรม การป่าไม้ และการประมง,หญิง,1,ชลบุรี
1456,24,2559,การทำเหมืองแร่และเหมืองหิน,หญิง,1,ชลบุรี
161381,25,2559,การผลิต,หญิง,1,ชลบุรี
227,26,2559,การไฟฟ้า ก๊าซ ไอน้ำ และระบบการปรับอากาศ,หญิง,1,ชลบุรี
0,27,2559,การจัดหาน้ำ การจัดการน้ำเสียและของเสีย,หญิง,1,ชลบุรี
7250,28,2559,การก่อสร้าง,หญิง,1,ชลบุรี
91928,29,2559,การขายส่งและการขายปลีก การซ่อมยานยนต์,หญิง,1,ชลบุรี
7600,30,2559,การขนส่งและสถานที่เก็บสินค้า,หญิง,1,ชลบุรี
76430,31,2559,กิจกรรมโรงแรมและบริการด้านอาหาร,หญิง,1,ชลบุรี
716,32,2559,ข้อมูลข่าวสารและการสื่อสาร,หญิง,1,ชลบุรี
11424,33,2559,กิจกรรมทางการเงินและการประกันภัย,หญิง,1,ชลบุรี
9202,34,2559,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,หญิง,1,ชลบุรี
588,35,2559,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,หญิง,1,ชลบุรี
3513,36,2559,กิจกรรมการบริหารและบริการสนับสนุน,หญิง,1,ชลบุรี
5343,37,2559,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,หญิง,1,ชลบุรี
14510,38,2559,การศึกษา,หญิง,1,ชลบุรี
19402,39,2559,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,หญิง,1,ชลบุรี
8804,40,2559,ศิลปะ ความบันเทิงและนันทนาการ,หญิง,1,ชลบุรี
33466,41,2559,กิจกรรมการบริการด้านอื่น ๆ,หญิง,1,ชลบุรี
4425,42,2559,กิจกรรมการจ้างงานในครัวเรือน,หญิง,1,ชลบุรี
0,43,2559,กิจกรรมขององค์การระหว่างประเทศ,หญิง,1,ชลบุรี
0,44,2559,ไม่ทราบ,หญิง,1,ชลบุรี
34912,45,2559,เกษตรกรรม การป่าไม้ และการประมง,ชาย,2,ชลบุรี
3898,46,2559,การทำเหมืองแร่และเหมืองหิน,ชาย,2,ชลบุรี
236144,47,2559,การผลิต,ชาย,2,ชลบุรี
1691,48,2559,การไฟฟ้า ก๊าซ ไอน้ำ และระบบการปรับอากาศ,ชาย,2,ชลบุรี
388,49,2559,การจัดหาน้ำ การจัดการน้ำเสียและของเสีย,ชาย,2,ชลบุรี
29962,50,2559,การก่อสร้าง,ชาย,2,ชลบุรี
82736,51,2559,การขายส่งและการขายปลีก การซ่อมยานยนต์,ชาย,2,ชลบุรี
49243,52,2559,การขนส่งและสถานที่เก็บสินค้า,ชาย,2,ชลบุรี
48409,53,2559,กิจกรรมโรงแรมและบริการด้านอาหาร,ชาย,2,ชลบุรี
1060,54,2559,ข้อมูลข่าวสารและการสื่อสาร,ชาย,2,ชลบุรี
2704,55,2559,กิจกรรมทางการเงินและการประกันภัย,ชาย,2,ชลบุรี
6927,56,2559,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,ชาย,2,ชลบุรี
1950,57,2559,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,ชาย,2,ชลบุรี
21079,58,2559,กิจกรรมการบริหารและบริการสนับสนุน,ชาย,2,ชลบุรี
20573,59,2559,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,ชาย,2,ชลบุรี
9015,60,2559,การศึกษา,ชาย,2,ชลบุรี
2259,61,2559,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,ชาย,2,ชลบุรี
5346,62,2559,ศิลปะ ความบันเทิงและนันทนาการ,ชาย,2,ชลบุรี
7641,63,2559,กิจกรรมการบริการด้านอื่น ๆ,ชาย,2,ชลบุรี
0,64,2559,กิจกรรมการจ้างงานในครัวเรือน,ชาย,2,ชลบุรี
0,65,2559,กิจกรรมขององค์การระหว่างประเทศ,ชาย,2,ชลบุรี
0,66,2559,ไม่ทราบ,ชาย,2,ชลบุรี
15484,67,2559,เกษตรกรรม การป่าไม้ และการประมง,หญิง,2,ชลบุรี
1409,68,2559,การทำเหมืองแร่และเหมืองหิน,หญิง,2,ชลบุรี
152533,69,2559,การผลิต,หญิง,2,ชลบุรี
0,70,2559,การไฟฟ้า ก๊าซ ไอน้ำ และระบบการปรับอากาศ,หญิง,2,ชลบุรี
0,71,2559,การจัดหาน้ำ การจัดการน้ำเสียและของเสีย,หญิง,2,ชลบุรี
5697,72,2559,การก่อสร้าง,หญิง,2,ชลบุรี
92877,73,2559,การขายส่งและการขายปลีก การซ่อมยานยนต์,หญิง,2,ชลบุรี
11204,74,2559,การขนส่งและสถานที่เก็บสินค้า,หญิง,2,ชลบุรี
86304,75,2559,กิจกรรมโรงแรมและบริการด้านอาหาร,หญิง,2,ชลบุรี
0,76,2559,ข้อมูลข่าวสารและการสื่อสาร,หญิง,2,ชลบุรี
4673,77,2559,กิจกรรมทางการเงินและการประกันภัย,หญิง,2,ชลบุรี
8349,78,2559,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,หญิง,2,ชลบุรี
663,79,2559,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,หญิง,2,ชลบุรี
7217,80,2559,กิจกรรมการบริหารและบริการสนับสนุน,หญิง,2,ชลบุรี
5388,81,2559,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,หญิง,2,ชลบุรี
17148,82,2559,การศึกษา,หญิง,2,ชลบุรี
16749,83,2559,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,หญิง,2,ชลบุรี
8541,84,2559,ศิลปะ ความบันเทิงและนันทนาการ,หญิง,2,ชลบุรี
25576,85,2559,กิจกรรมการบริการด้านอื่น ๆ,หญิง,2,ชลบุรี
4184,86,2559,กิจกรรมการจ้างงานในครัวเรือน,หญิง,2,ชลบุรี
0,87,2559,กิจกรรมขององค์การระหว่างประเทศ,หญิง,2,ชลบุรี
0,88,2559,ไม่ทราบ,หญิง,2,ชลบุรี
34150,89,2559,เกษตรกรรม การป่าไม้ และการประมง,ชาย,3,ชลบุรี
4970,90,2559,การทำเหมืองแร่และเหมืองหิน,ชาย,3,ชลบุรี
218517,91,2559,การผลิต,ชาย,3,ชลบุรี
2198,92,2559,การไฟฟ้า ก๊าซ ไอน้ำ และระบบการปรับอากาศ,ชาย,3,ชลบุรี
1348,93,2559,การจัดหาน้ำ การจัดการน้ำเสียและของเสีย,ชาย,3,ชลบุรี
31903,94,2559,การก่อสร้าง,ชาย,3,ชลบุรี
98890,95,2559,การขายส่งและการขายปลีก การซ่อมยานยนต์,ชาย,3,ชลบุรี
49019,96,2559,การขนส่งและสถานที่เก็บสินค้า,ชาย,3,ชลบุรี
52710,97,2559,กิจกรรมโรงแรมและบริการด้านอาหาร,ชาย,3,ชลบุรี
