AGE_GROUP,VALUE,QUARTER,SOURCE,_id,REG,UNIT,YEAR,EDUCATIONAL
15-19 ปี,2.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,กทม.,พันคน,2563,ไม่มีการศึกษา
15-19 ปี,3.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,กทม.,พันคน,2563,ต่ำกว่าประถมศึกษา
15-19 ปี,62.76,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,กทม.,พันคน,2563,ประถมศึกษา
15-19 ปี,216.74,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,กทม.,พันคน,2563,มัธยมศึกษาตอนต้น
15-19 ปี,70.42,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายสามัญ
15-19 ปี,13.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา 
15-19 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา 
15-19 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการ
15-19 ปี,0.47,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,กทม.,พันคน,2563,อุดมศึกษา สายวิชาชีพ 
15-19 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการศึกษา 
15-19 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,11,กทม.,พันคน,2563,การศึกษาอื่นๆ 
15-19 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,12,กทม.,พันคน,2563,ไม่ทราบระดับการศึกษา 
20-24 ปี,12.35,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,13,กทม.,พันคน,2563,ไม่มีการศึกษา
20-24 ปี,14.13,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,14,กทม.,พันคน,2563,ต่ำกว่าประถมศึกษา
20-24 ปี,38.45,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,15,กทม.,พันคน,2563,ประถมศึกษา
20-24 ปี,69.67,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,16,กทม.,พันคน,2563,มัธยมศึกษาตอนต้น
20-24 ปี,264.84,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,17,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายสามัญ
20-24 ปี,24.02,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,18,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา 
20-24 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,19,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา 
20-24 ปี,95.13,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,20,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการ
20-24 ปี,17.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,21,กทม.,พันคน,2563,อุดมศึกษา สายวิชาชีพ 
20-24 ปี,2.22,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,22,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการศึกษา 
20-24 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,23,กทม.,พันคน,2563,การศึกษาอื่นๆ 
20-24 ปี,0.74,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,24,กทม.,พันคน,2563,ไม่ทราบระดับการศึกษา 
25-29 ปี,26.29,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,25,กทม.,พันคน,2563,ไม่มีการศึกษา
25-29 ปี,9.66,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,26,กทม.,พันคน,2563,ต่ำกว่าประถมศึกษา
25-29 ปี,61.73,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,27,กทม.,พันคน,2563,ประถมศึกษา
25-29 ปี,121.44,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,28,กทม.,พันคน,2563,มัธยมศึกษาตอนต้น
25-29 ปี,103.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,29,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายสามัญ
25-29 ปี,26.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,30,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา 
25-29 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,31,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา 
25-29 ปี,352.79,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,32,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการ
25-29 ปี,51.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,33,กทม.,พันคน,2563,อุดมศึกษา สายวิชาชีพ 
25-29 ปี,25.87,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,34,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการศึกษา 
25-29 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,35,กทม.,พันคน,2563,การศึกษาอื่นๆ 
25-29 ปี,1.71,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,36,กทม.,พันคน,2563,ไม่ทราบระดับการศึกษา 
30-34 ปี,29.19,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,37,กทม.,พันคน,2563,ไม่มีการศึกษา
30-34 ปี,10.07,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,38,กทม.,พันคน,2563,ต่ำกว่าประถมศึกษา
30-34 ปี,97.57,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,39,กทม.,พันคน,2563,ประถมศึกษา
30-34 ปี,153.88,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,40,กทม.,พันคน,2563,มัธยมศึกษาตอนต้น
30-34 ปี,130.75,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,41,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายสามัญ
30-34 ปี,42.61,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,42,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา 
30-34 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,43,กทม.,พันคน,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา 
30-34 ปี,388.98,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,44,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการ
30-34 ปี,34.56,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,45,กทม.,พันคน,2563,อุดมศึกษา สายวิชาชีพ 
30-34 ปี,13.22,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,46,กทม.,พันคน,2563,อุดมศึกษา สายวิชาการศึกษา 
30-34 ปี,0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,47,กทม.,พันคน,2563,การศึกษาอื่นๆ 
30-34 ปี,1.16,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,48,กทม.,พันคน,2563,ไม่ทราบระดับการศึกษา 
35-39 ปี ,28.83,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,49,กทม.,พันคน,2563,ไม่มีการศึกษา
