จำนวน,ประเภท,_id,ชื่อชุดข้อมูล,ปี,พื้นที่,หน่วยงานเจ้าของข้อมูล,หน่วย
39677,มาตรา33,1,ผู้ประกันตน,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
10647,มาตรา33,2,ผู้ประกันตน,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
11589,มาตรา 39,3,ผู้ประกันตน,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2815,มาตรา 39,4,ผู้ประกันตน,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
262815,มาตรา 40,5,ผู้ประกันตน,2565,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
42082,มาตรา 40,6,ผู้ประกันตน,2565,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
50324,มาตรา 33,7,ผู้ประกันตน,2565,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
14404,มาตรา 39,8,ผู้ประกันตน,2565,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
304897,มาตรา 40,9,ผู้ประกันตน,2565,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
40757,มาตรา 33,10,ผู้ประกันตน,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
10602,มาตรา 33,11,ผู้ประกันตน,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
10920,มาตรา 39,12,ผู้ประกันตน,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2538,มาตรา 39,13,ผู้ประกันตน,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
263742,มาตรา 40,14,ผู้ประกันตน,2566,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
41899,มาตรา 40,15,ผู้ประกันตน,2566,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
51359,มาตรา 33,16,ผู้ประกันตน,2566,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
13458,มาตรา 39,17,ผู้ประกันตน,2566,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
305641,มาตรา 40,18,ผู้ประกันตน,2566,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
41188,มาตรา33,19,ผู้ประกันตน,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
11165,มาตรา33,20,ผู้ประกันตน,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
9811,มาตรา 39,21,ผู้ประกันตน,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2237,มาตรา 39,22,ผู้ประกันตน,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
212483,มาตรา 40,23,ผู้ประกันตน,2567,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
28925,มาตรา 40,24,ผู้ประกันตน,2567,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
52353,มาตรา 33,25,ผู้ประกันตน,2567,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
12048,มาตรา 39,26,ผู้ประกันตน,2567,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
241408,มาตรา 40,27,ผู้ประกันตน,2567,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
41200,มาตรา33,28,ผู้ประกันตน,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
11289,มาตรา33,29,ผู้ประกันตน,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
9241,มาตรา 39,30,ผู้ประกันตน,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
2154,มาตรา 39,31,ผู้ประกันตน,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
212026,มาตรา 40,32,ผู้ประกันตน,2568,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
29093,มาตรา 40,33,ผู้ประกันตน,2568,สามชุก,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
52489,มาตรา 33,34,ผู้ประกันตน,2568,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
11395,มาตรา 39,35,ผู้ประกันตน,2568,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
241119,มาตรา 40,36,ผู้ประกันตน,2568,รวม,สำนักงานประกันสังคมจังหวัดสุพรรณบุรี,คน
