LPG ดีเซล ไฟฟ้า,ไม่ใช้เชื้อเพลิง,เบนซิน ไฟฟ้า,ดีเซล,LNG,LPG เบนซิน ไฟฟ้า,LPGและเบนซิน,CNG ดีเซล,CNG LPG,รวม,CNG LPG ดีเซล,เบนซิน เอทานอล,LPG ดีเซล ไฟฟ้าปลั๊กอิน,เบนซิน ไฟฟ้าปลั๊กอิน,CNG LPG เบนซิน,CNG เบนซิน,ไม่ระบุ,ปี,CNG,ไฟฟ้า,ดีเซล ไฟฟ้าปลั๊กอิน,ประเภทรถ,ไฮโดรเจน,ดีเซล ไฟฟ้า,ก๊าซ LPG,_id,เบนซิน,LPGและดีเซล
0,0,282,1830,0,0,22,0,0,3490,0,0,0,14,0,1,0,2566,0,166,1,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,0,0,0,1,1174,0
0,0,0,48,0,0,7,0,0,70,0,0,0,0,0,13,0,2566,0,0,0,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,0,0,0,2,2,0
0,0,0,1218,0,0,3,0,0,1249,0,0,0,0,0,0,0,2566,0,1,0,รย.3 รถยนต์บรรทุกส่วนบุคคล,0,0,0,3,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.4 รถยนต์สามล้อส่วนบุคคล,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.5 รถยนต์รับจ้างระหว่างจังหวัด,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.7 รถยนต์สี่ล้อเล็กรับจ้าง,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.8 รถยนต์รับจ้างสามล้อ,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.9 รถยนต์บริการธุรกิจ,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.10 รถยนต์บริการทัศนาจร,0,0,0,10,0,0
