LPG ดีเซล ไฟฟ้า,ไม่ใช้เชื้อเพลิง,เบนซิน ไฟฟ้า,ดีเซล,LNG,LPG เบนซิน ไฟฟ้า,LPGและเบนซิน,CNG ดีเซล,CNG LPG,รวม,CNG LPG ดีเซล,เบนซิน เอทานอล,LPG ดีเซล ไฟฟ้าปลั๊กอิน,เบนซิน ไฟฟ้าปลั๊กอิน,CNG LPG เบนซิน,CNG เบนซิน,ไม่ระบุ,ปี,CNG,ไฟฟ้า,ดีเซล ไฟฟ้าปลั๊กอิน,ประเภทรถ,ไฮโดรเจน,ดีเซล ไฟฟ้า,ก๊าซ LPG,_id,เบนซิน,LPGและดีเซล
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.11 รถยนต์บริการให้เช่า,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,21605,0,0,0,0,0,0,0,2566,0,1466,0,รย.12 รถจักรยานยนต์ส่วนบุคคล,0,0,0,12,20139,0
0,0,0,1190,0,0,0,0,0,1190,0,0,0,0,0,0,0,2566,0,0,0,รย.13 รถแทร็กเตอร์,0,0,0,13,0,0
0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2566,0,0,0,รย.14 รถบดถนน,0,0,0,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.15 รถใช้ในงานเกษตรกรรม,0,0,0,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รย.16 รถพ่วง,0,0,0,16,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2566,0,1,0,รย.17 รถจักรยานยนต์สาธารณะ,0,0,0,17,11,0
0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,2566,0,0,0,รถโดยสารประจำทาง,0,0,0,18,0,0
0,0,0,23,0,0,0,0,0,24,0,0,0,0,0,1,0,2566,0,0,0,รถโดยสารไม่ประจำทาง,0,0,0,19,0,0
0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,2566,0,0,0,รถโดยสารส่วนบุคคล,0,0,0,20,0,0
0,65,0,167,0,0,0,0,0,235,0,0,0,0,0,0,0,2566,3,0,0,รถบรรทุกไม่ประจำทาง,0,0,0,21,0,0
0,137,0,382,0,0,0,0,0,522,0,0,0,0,0,0,0,2566,3,0,0,รถบรรทุกส่วนบุคคล,0,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,รถขนาดเล็ก,0,0,0,23,0,0
0,0,359,993,0,0,8,0,0,2421,0,0,0,9,0,4,0,2567,0,180,1,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,0,0,0,24,867,0
0,0,0,34,0,0,5,0,0,48,0,0,0,0,0,6,0,2567,0,0,0,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,0,0,0,25,3,0
0,0,0,831,0,0,2,0,0,853,0,0,0,0,0,0,0,2567,0,0,0,รย.3 รถยนต์บรรทุกส่วนบุคคล,0,0,0,26,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.4 รถยนต์สามล้อส่วนบุคคล,0,0,0,27,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.5 รถยนต์รับจ้างระหว่างจังหวัด,0,0,0,28,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,0,0,0,29,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.7 รถยนต์สี่ล้อเล็กรับจ้าง,0,0,0,30,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.8 รถยนต์รับจ้างสามล้อ,0,0,0,31,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.9 รถยนต์บริการธุรกิจ,0,0,0,32,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.10 รถยนต์บริการทัศนาจร,0,0,0,33,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.11 รถยนต์บริการให้เช่า,0,0,0,34,0,0
0,0,0,0,0,0,0,0,0,20075,0,0,0,0,0,0,0,2567,0,1661,0,รย.12 รถจักรยานยนต์ส่วนบุคคล,0,0,0,35,18414,0
0,0,0,1019,0,0,0,0,0,1019,0,0,0,0,0,0,0,2567,0,0,0,รย.13 รถแทร็กเตอร์,0,0,0,36,0,0
0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2567,0,0,0,รย.14 รถบดถนน,0,0,0,37,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.15 รถใช้ในงานเกษตรกรรม,0,0,0,38,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รย.16 รถพ่วง,0,0,0,39,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2567,0,0,0,รย.17 รถจักรยานยนต์สาธารณะ,0,0,0,40,12,0
0,0,0,11,0,0,1,0,0,12,0,0,0,0,0,0,0,2567,0,0,0,รถโดยสารประจำทาง,0,0,0,41,0,0
0,0,0,21,0,0,0,0,0,22,0,0,0,0,0,1,0,2567,0,0,0,รถโดยสารไม่ประจำทาง,0,0,0,42,0,0
0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,2567,0,0,0,รถโดยสารส่วนบุคคล,0,0,0,43,0,0
0,47,0,171,0,0,0,0,0,223,0,0,0,0,0,0,0,2567,4,0,0,รถบรรทุกไม่ประจำทาง,0,0,0,44,1,0
0,102,0,319,0,0,0,0,0,422,0,0,0,0,0,0,0,2567,1,0,0,รถบรรทุกส่วนบุคคล,0,0,0,45,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,รถขนาดเล็ก,0,0,0,46,0,0
0,0,390,703,0,0,1,0,0,1966,0,0,0,38,0,0,0,2568,0,284,0,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,0,0,0,47,550,0
0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,2568,0,0,0,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,0,0,0,48,0,0
0,0,0,299,0,0,0,0,0,301,0,0,0,0,0,0,0,2568,0,0,0,รย.3 รถยนต์บรรทุกส่วนบุคคล,0,0,0,49,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.4 รถยนต์สามล้อส่วนบุคคล,0,0,0,50,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.5 รถยนต์รับจ้างระหว่างจังหวัด,0,0,0,51,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,0,0,0,52,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.7 รถยนต์สี่ล้อเล็กรับจ้าง,0,0,0,53,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.8 รถยนต์รับจ้างสามล้อ,0,0,0,54,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.9 รถยนต์บริการธุรกิจ,0,0,0,55,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.10 รถยนต์บริการทัศนาจร,0,0,0,56,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.11 รถยนต์บริการให้เช่า,0,0,0,57,0,0
0,0,0,0,0,0,0,0,0,18462,0,0,0,0,0,0,0,2568,0,661,0,รย.12 รถจักรยานยนต์ส่วนบุคคล,0,0,0,58,17801,0
0,0,0,744,0,0,0,0,0,744,0,0,0,0,0,0,0,2568,0,0,0,รย.13 รถแทร็กเตอร์,0,0,0,59,0,0
0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,2568,0,0,0,รย.14 รถบดถนน,0,0,0,60,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.15 รถใช้ในงานเกษตรกรรม,0,0,0,61,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.16 รถพ่วง,0,0,0,62,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รย.17 รถจักรยานยนต์สาธารณะ,0,0,0,63,0,0
0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2568,0,0,0,รถโดยสารประจำทาง,0,0,0,64,0,0
0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,2568,0,0,0,รถโดยสารไม่ประจำทาง,0,0,0,65,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,รถโดยสารส่วนบุคคล,0,0,0,66,0,0
0,32,0,71,0,0,0,0,0,103,0,0,0,0,0,0,0,2568,0,0,0,รถบรรทุกไม่ประจำทาง,0,0,0,67,0,0
0,24,0,75,0,0,0,0,0,100,0,0,0,0,0,0,0,2568,0,0,0,รถบรรทุกส่วนบุคคล,0,0,0,68,1,0
