﻿year,work_status,_id,value,unit,source
2556,นายจ้าง,1,4.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ลูกจ้างรัฐบาล,2,17.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ลูกจ้างเอกชน,3,54.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ทํางานส่วนตัว,4,22.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ช่วยธุรกิจครัวเรือน,5,2.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,การรวมกลุ่ม,6,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,นายจ้าง,7,4.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ลูกจ้างรัฐบาล,8,17.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ลูกจ้างเอกชน,9,55.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ทํางานส่วนตัว,10,19.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ช่วยธุรกิจครัวเรือน,11,2.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,การรวมกลุ่ม,12,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,นายจ้าง,13,1.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ลูกจ้างรัฐบาล,14,14.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ลูกจ้างเอกชน,15,60.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ทํางานส่วนตัว,16,21.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ช่วยธุรกิจครัวเรือน,17,2.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,การรวมกลุ่ม,18,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,นายจ้าง,19,2.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ลูกจ้างรัฐบาล,20,11.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ลูกจ้างเอกชน,21,59.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ทํางานส่วนตัว,22,23.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ช่วยธุรกิจครัวเรือน,23,2.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,การรวมกลุ่ม,24,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,นายจ้าง,25,2.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ลูกจ้างรัฐบาล,26,12.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ลูกจ้างเอกชน,27,58.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ทํางานส่วนตัว,28,23.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ช่วยธุรกิจครัวเรือน,29,2.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,การรวมกลุ่ม,30,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,นายจ้าง,31,2.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ลูกจ้างรัฐบาล,32,12.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ลูกจ้างเอกชน,33,55.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ทํางานส่วนตัว,34,27.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ช่วยธุรกิจครัวเรือน,35,3.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,การรวมกลุ่ม,36,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,นายจ้าง,37,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ลูกจ้างรัฐบาล,38,10.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ลูกจ้างเอกชน,39,56.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ทํางานส่วนตัว,40,28.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ช่วยธุรกิจครัวเรือน,41,3.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,การรวมกลุ่ม,42,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,นายจ้าง,43,1.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ลูกจ้างรัฐบาล,44,10.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ลูกจ้างเอกชน,45,54.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ทํางานส่วนตัว,46,29.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ช่วยธุรกิจครัวเรือน,47,3.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,การรวมกลุ่ม,48,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,นายจ้าง,49,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ลูกจ้างรัฐบาล,50,9.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ลูกจ้างเอกชน,51,49.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ทํางานส่วนตัว,52,36.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ช่วยธุรกิจครัวเรือน,53,3.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,การรวมกลุ่ม,54,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,นายจ้าง,55,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ลูกจ้างรัฐบาล,56,8.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ลูกจ้างเอกชน,57,41.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
