เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
มีนาคม,47186,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
มีนาคม,1592,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
มีนาคม,11362,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
มีนาคม,9,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
มีนาคม,417,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
มีนาคม,24,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
มีนาคม,10,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
มีนาคม,48,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
มีนาคม,4,9,2567,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
มีนาคม,168037,10,2567,รย. 12 รถจักรยานยนต์,รถยนต์
มีนาคม,5466,11,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
มีนาคม,47,12,2567,รย. 14 รถบดถนน,รถยนต์
มีนาคม,47,13,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
มีนาคม,83,14,2567,รย. 16 รถพ่วง,รถยนต์
มีนาคม,97,15,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
มีนาคม,96,16,2567,รถโดยสารประจำทาง,รถขนส่ง
มีนาคม,288,17,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
มีนาคม,31,18,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
มีนาคม,2578,19,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
มีนาคม,2399,20,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
