VALUE,SOURCE,SUBJECT,_id,UNIT,YEAR
1056272,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),1,คน,2557
227237,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),2,คน,2557
165456,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),3,คน,2557
105872,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),4,คน,2557
80659,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),5,คน,2557
30642,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),6,คน,2557
12624,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),7,คน,2557
17656,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),8,คน,2557
9952,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),9,คน,2557
4345,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),10,คน,2557
1710715,สำนักงานสถิติแห่งชาติ,รวม (Total),11,คน,2557
1110861,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),12,คน,2558
234678,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),13,คน,2558
167805,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),14,คน,2558
123067,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),15,คน,2558
90127,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),16,คน,2558
30962,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),17,คน,2558
10869,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),18,คน,2558
16009,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),19,คน,2558
11778,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),20,คน,2558
2573,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),21,คน,2558
1798729,สำนักงานสถิติแห่งชาติ,รวม (Total),22,คน,2558
1109160,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),23,คน,2559
259601,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),24,คน,2559
157263,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),25,คน,2559
113943,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),26,คน,2559
85226,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),27,คน,2559
30811,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),28,คน,2559
11323,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),29,คน,2559
14647,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),30,คน,2559
9949,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),31,คน,2559
3451,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),32,คน,2559
1795374,สำนักงานสถิติแห่งชาติ,รวม (Total),33,คน,2559
1076915,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),34,คน,2560
254126,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),35,คน,2560
157636,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),36,คน,2560
123371,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),37,คน,2560
93898,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),38,คน,2560
35025,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),39,คน,2560
17621,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),40,คน,2560
14602,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),41,คน,2560
11760,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),42,คน,2560
3338,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),43,คน,2560
1788292,สำนักงานสถิติแห่งชาติ,รวม (Total),44,คน,2560
1078246,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),45,คน,2561
249157,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),46,คน,2561
176551,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),47,คน,2561
133133,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),48,คน,2561
97056,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),49,คน,2561
37912,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),50,คน,2561
12758,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),51,คน,2561
18992,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),52,คน,2561
14795,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),53,คน,2561
3652,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),54,คน,2561
1822252,สำนักงานสถิติแห่งชาติ,รวม (Total),55,คน,2561
