dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,ภาค,-,2,text,region
3,เขตการปกครอง,-,3,text,area
4,เพศ,-,4,text,sex
5,อาชีพ,-,5,text,occupation
6,จำนวนชั่วโมงการทำงานต่อสัปดาห์,-,6,text,hours_worked_per_week
7,ระดับการศึกษาที่สำเร็จ ระดับการศึกษา,-,7,text,level_of_educational_attainment
8,อุตสาหกรรม,-,8,text,industry
9,ค่าข้อมูล,-,9,numeric,value
10,หน่วยนับ,-,10,text,unit
11,ที่มาระดับกรม,-,11,text,source
