จำนวน,ประเภท,ที่มา,สถานภาพแรงงาน,_id,ปี,เพศ,ช่วงเวลา,หน่วย
" 28,218 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,32,2562,หญิง,ไตรมาสที่ 2,คน
" 125,076 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,33,2562,ชาย,ไตรมาสที่ 3,คน
 732 ,ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,34,2562,ชาย,ไตรมาสที่ 3,คน
" 1,435 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,35,2562,ชาย,ไตรมาสที่ 3,คน
" 91,263 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,36,2562,หญิง,ไตรมาสที่ 3,คน
" 1,501 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,37,2562,หญิง,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,38,2562,หญิง,ไตรมาสที่ 3,คน
" 3,379 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,39,2562,ชาย,ไตรมาสที่ 3,คน
" 12,832 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,40,2562,ชาย,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,41,2562,ชาย,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,42,2562,ชาย,ไตรมาสที่ 3,คน
" 32,502 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,43,2562,ชาย,ไตรมาสที่ 3,คน
" 51,633 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,44,2562,หญิง,ไตรมาสที่ 3,คน
" 13,500 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,45,2562,หญิง,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,46,2562,หญิง,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,47,2562,หญิง,ไตรมาสที่ 3,คน
" 35,140 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,48,2562,หญิง,ไตรมาสที่ 3,คน
" 128,451 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,49,2562,ชาย,ไตรมาสที่ 4,คน
" 2,852 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,50,2562,ชาย,ไตรมาสที่ 4,คน
" 1,281 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,51,2562,ชาย,ไตรมาสที่ 4,คน
" 101,378 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,52,2562,หญิง,ไตรมาสที่ 4,คน
" 2,405 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,53,2562,หญิง,ไตรมาสที่ 4,คน
" 1,197 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,54,2562,หญิง,ไตรมาสที่ 4,คน
" 3,906 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,55,2562,ชาย,ไตรมาสที่ 4,คน
" 8,767 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,56,2562,ชาย,ไตรมาสที่ 4,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,57,2562,ชาย,ไตรมาสที่ 4,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,58,2562,ชาย,ไตรมาสที่ 4,คน
" 30,642 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,59,2562,ชาย,ไตรมาสที่ 4,คน
" 46,647 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,60,2562,หญิง,ไตรมาสที่ 4,คน
" 11,447 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,61,2562,หญิง,ไตรมาสที่ 4,คน
