ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,อำเภอ,รายการ
-,สำนักงานเกษตรจังหวัดนครพนม,23,2562,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,24,2562,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
635.43,สำนักงานเกษตรจังหวัดนครพนม,25,2563,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
82.11,สำนักงานเกษตรจังหวัดนครพนม,26,2563,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
212.68,สำนักงานเกษตรจังหวัดนครพนม,27,2563,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
251.25,สำนักงานเกษตรจังหวัดนครพนม,28,2563,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
295,สำนักงานเกษตรจังหวัดนครพนม,29,2563,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
260.5,สำนักงานเกษตรจังหวัดนครพนม,30,2563,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,31,2563,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,32,2563,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,33,2563,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,34,2563,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,35,2563,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,36,2563,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
