วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ประเภทโรงงาน,หมายเลขผู้เสียภาษี,ลำดับ,เลขทะเบียนโรงงาน,วันที่รับรอง,จังหวัด
27/4/2569,1,GI(E) 4-011,บริษัท ฟาบริเนท จำกัด,7200,105542000000,1,72450000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,2,GI(E) 4-024,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),4703,107537000000,2,10200100000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,3,GI(E) 4-039,บริษัท ไทยซัมมิท ฮาร์เนส จำกัด (มหาชน),7702,107575000000,3,72060000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,4,GI(E) 4-040,บริษัท นิคเคสยามอลูมิเนียม จำกัด,5306,105514000000,4,82110000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,5,GI(E) 4-054,บริษัท สยามคอมเพรสเซอร์อุตสาหกรรม จำกัด,7100,105531000000,5,72060100000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,6,GI(E) 4-061,บริษัท ทาทา สตีล การผลิต (ประเทศไทย) จำกัด (มหาชน),5900,107536000000,6,72080000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,7,GI(E) 4-085,บริษัท นิตตั้น (ประเทศไทย) จำกัด,7702,105540000000,7,72110000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,8,GI(E) 4-086,บริษัท ซีพีแรม จำกัด (ชลบุรี),403,105531000000,8,82240000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,9,GI(E) 4-088,บริษัท ไทย โอนลี่ วัน แมเนจ แอนด์ เซอร์วิส จำกัด,10600,205555000000,9,10200100000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,10,GI(E) 4-089,บริษัท สยามวัฒนา เวสต์ แมนเน็จเม้นท์ จำกัด,10500,205554000000,10,10200000000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,11,GI(E) 4-091,บริษัท ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),5204,107559000000,11,82240100000000,2566-04-28T00:00:00,ชลบุรี
27/4/2569,12,GI(E) 4-103,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),5305,107536000000,12,72110100000000,2566-04-28T00:00:00,ชลบุรี
29/6/2569,13,GI(E) 4-107,บริษัท อีสเทิร์น ซีบอร์ด เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,10500,105543000000,13,72080000000000,2566-06-29T00:00:00,ชลบุรี
29/6/2569,14,GI(E) 4-108,บริษัท โกลว์ ไอพีพี จำกัด,8802,105540000000,14,72080000000000,2566-06-29T00:00:00,ชลบุรี
29/6/2569,15,GI(E) 4-111,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน) โรงงานชลบุรี,1003,107560000000,15,10200000000000,2566-06-29T00:00:00,ชลบุรี
29/6/2569,16,GI(E) 4-118,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) โรงงานผลิตอาหารสัตว์บกศรีราชา,1501,107555000000,16,10200000000000,2566-06-29T00:00:00,ชลบุรี
20/7/2569,17,GI(E) 4-137,บริษัท อีสเทิร์น ซีบอร์ด เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,10500,105543000000,17,72080000000000,2566-07-21T00:00:00,ชลบุรี
14/11/2569,18,GI(E) 4-013,บริษัท โตเกียว โรคิ (ประเทศไทย) จำกัด,7702,105515000000,18,82110000000000,2566-11-15T00:00:00,ชลบุรี
