จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
16896,66,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,3,ชลบุรี
0,67,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,3,ชลบุรี
48152,68,2559,อุดมศึกษา - สายวิชาการ,หญิง,3,ชลบุรี
38249,69,2559,อุดมศึกษา - สายวิชาชีพ,หญิง,3,ชลบุรี
8714,70,2559,อุดมศึกษา - สายวิชาการศึกษา,หญิง,3,ชลบุรี
2724,71,2559,อื่น ๆ,หญิง,3,ชลบุรี
6335,72,2559,ไม่ทราบ,หญิง,3,ชลบุรี
15603,73,2559,ไม่มีการศึกษา,ชาย,4,ชลบุรี
57936,74,2559,ต่ำกว่าประถมศึกษา,ชาย,4,ชลบุรี
112363,75,2559,ประถมศึกษา,ชาย,4,ชลบุรี
154147,76,2559,มัธยมศึกษาตอนต้น,ชาย,4,ชลบุรี
92756,77,2559,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,4,ชลบุรี
28953,78,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,4,ชลบุรี
0,79,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,4,ชลบุรี
66329,80,2559,อุดมศึกษา - สายวิชาการ,ชาย,4,ชลบุรี
46311,81,2559,อุดมศึกษา - สายวิชาชีพ,ชาย,4,ชลบุรี
4112,82,2559,อุดมศึกษา - สายวิชาการศึกษา,ชาย,4,ชลบุรี
4503,83,2559,อื่น ๆ,ชาย,4,ชลบุรี
4341,84,2559,ไม่ทราบ,ชาย,4,ชลบุรี
9094,85,2559,ไม่มีการศึกษา,หญิง,4,ชลบุรี
46887,86,2559,ต่ำกว่าประถมศึกษา,หญิง,4,ชลบุรี
66336,87,2559,ประถมศึกษา,หญิง,4,ชลบุรี
108573,88,2559,มัธยมศึกษาตอนต้น,หญิง,4,ชลบุรี
82646,89,2559,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,4,ชลบุรี
16623,90,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,4,ชลบุรี
0,91,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,4,ชลบุรี
63928,92,2559,อุดมศึกษา - สายวิชาการ,หญิง,4,ชลบุรี
40746,93,2559,อุดมศึกษา - สายวิชาชีพ,หญิง,4,ชลบุรี
13479,94,2559,อุดมศึกษา - สายวิชาการศึกษา,หญิง,4,ชลบุรี
3777,95,2559,อื่น ๆ,หญิง,4,ชลบุรี
1408,96,2559,ไม่ทราบ,หญิง,4,ชลบุรี
23237,97,2560,ไม่มีการศึกษา,ชาย,1,ชลบุรี
57940,98,2560,ต่ำกว่าประถมศึกษา,ชาย,1,ชลบุรี
107068,99,2560,ประถมศึกษา,ชาย,1,ชลบุรี
150708,100,2560,มัธยมศึกษาตอนต้น,ชาย,1,ชลบุรี
82400,101,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,1,ชลบุรี
27234,102,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,1,ชลบุรี
0,103,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,1,ชลบุรี
58968,104,2560,อุดมศึกษา - สายวิชาการ,ชาย,1,ชลบุรี
52752,105,2560,อุดมศึกษา - สายวิชาชีพ,ชาย,1,ชลบุรี
4814,106,2560,อุดมศึกษา - สายวิชาการศึกษา,ชาย,1,ชลบุรี
8650,107,2560,อื่น ๆ,ชาย,1,ชลบุรี
15604,108,2560,ไม่ทราบ,ชาย,1,ชลบุรี
21016,109,2560,ไม่มีการศึกษา,หญิง,1,ชลบุรี
44828,110,2560,ต่ำกว่าประถมศึกษา,หญิง,1,ชลบุรี
79872,111,2560,ประถมศึกษา,หญิง,1,ชลบุรี
101649,112,2560,มัธยมศึกษาตอนต้น,หญิง,1,ชลบุรี
69066,113,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,1,ชลบุรี
21305,114,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,1,ชลบุรี
0,115,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,1,ชลบุรี
68977,116,2560,อุดมศึกษา - สายวิชาการ,หญิง,1,ชลบุรี
32675,117,2560,อุดมศึกษา - สายวิชาชีพ,หญิง,1,ชลบุรี
9108,118,2560,อุดมศึกษา - สายวิชาการศึกษา,หญิง,1,ชลบุรี
6490,119,2560,อื่น ๆ,หญิง,1,ชลบุรี
15197,120,2560,ไม่ทราบ,หญิง,1,ชลบุรี
15932,121,2560,ไม่มีการศึกษา,ชาย,2,ชลบุรี
57151,122,2560,ต่ำกว่าประถมศึกษา,ชาย,2,ชลบุรี
97763,123,2560,ประถมศึกษา,ชาย,2,ชลบุรี
138086,124,2560,มัธยมศึกษาตอนต้น,ชาย,2,ชลบุรี
101489,125,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,2,ชลบุรี
33806,126,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,2,ชลบุรี
0,127,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,2,ชลบุรี
55668,128,2560,อุดมศึกษา - สายวิชาการ,ชาย,2,ชลบุรี
53186,129,2560,อุดมศึกษา - สายวิชาชีพ,ชาย,2,ชลบุรี
2578,130,2560,อุดมศึกษา - สายวิชาการศึกษา,ชาย,2,ชลบุรี
6700,131,2560,อื่น ๆ,ชาย,2,ชลบุรี
12181,132,2560,ไม่ทราบ,ชาย,2,ชลบุรี
16922,133,2560,ไม่มีการศึกษา,หญิง,2,ชลบุรี
54268,134,2560,ต่ำกว่าประถมศึกษา,หญิง,2,ชลบุรี
80398,135,2560,ประถมศึกษา,หญิง,2,ชลบุรี
106046,136,2560,มัธยมศึกษาตอนต้น,หญิง,2,ชลบุรี
82143,137,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,2,ชลบุรี
18104,138,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,2,ชลบุรี
0,139,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,2,ชลบุรี
61084,140,2560,อุดมศึกษา - สายวิชาการ,หญิง,2,ชลบุรี
35326,141,2560,อุดมศึกษา - สายวิชาชีพ,หญิง,2,ชลบุรี
4724,142,2560,อุดมศึกษา - สายวิชาการศึกษา,หญิง,2,ชลบุรี
4248,143,2560,อื่น ๆ,หญิง,2,ชลบุรี
16061,144,2560,ไม่ทราบ,หญิง,2,ชลบุรี
19371,145,2560,ไม่มีการศึกษา,ชาย,3,ชลบุรี
54652,146,2560,ต่ำกว่าประถมศึกษา,ชาย,3,ชลบุรี
107600,147,2560,ประถมศึกษา,ชาย,3,ชลบุรี
144736,148,2560,มัธยมศึกษาตอนต้น,ชาย,3,ชลบุรี
83283,149,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,3,ชลบุรี
28667,150,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,3,ชลบุรี
0,151,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,3,ชลบุรี
52301,152,2560,อุดมศึกษา - สายวิชาการ,ชาย,3,ชลบุรี
50599,153,2560,อุดมศึกษา - สายวิชาชีพ,ชาย,3,ชลบุรี
2413,154,2560,อุดมศึกษา - สายวิชาการศึกษา,ชาย,3,ชลบุรี
2472,155,2560,อื่น ๆ,ชาย,3,ชลบุรี
14379,156,2560,ไม่ทราบ,ชาย,3,ชลบุรี
13769,157,2560,ไม่มีการศึกษา,หญิง,3,ชลบุรี
35228,158,2560,ต่ำกว่าประถมศึกษา,หญิง,3,ชลบุรี
98582,159,2560,ประถมศึกษา,หญิง,3,ชลบุรี
110218,160,2560,มัธยมศึกษาตอนต้น,หญิง,3,ชลบุรี
71149,161,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,3,ชลบุรี
19542,162,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,3,ชลบุรี
0,163,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,3,ชลบุรี
51764,164,2560,อุดมศึกษา - สายวิชาการ,หญิง,3,ชลบุรี
37895,165,2560,อุดมศึกษา - สายวิชาชีพ,หญิง,3,ชลบุรี
10874,166,2560,อุดมศึกษา - สายวิชาการศึกษา,หญิง,3,ชลบุรี
1117,167,2560,อื่น ๆ,หญิง,3,ชลบุรี
9212,168,2560,ไม่ทราบ,หญิง,3,ชลบุรี
16175,169,2560,ไม่มีการศึกษา,ชาย,4,ชลบุรี
50727,170,2560,ต่ำกว่าประถมศึกษา,ชาย,4,ชลบุรี
112526,171,2560,ประถมศึกษา,ชาย,4,ชลบุรี
150548,172,2560,มัธยมศึกษาตอนต้น,ชาย,4,ชลบุรี
83718,173,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,4,ชลบุรี
22708,174,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,4,ชลบุรี
0,175,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,4,ชลบุรี
57093,176,2560,อุดมศึกษา - สายวิชาการ,ชาย,4,ชลบุรี
55049,177,2560,อุดมศึกษา - สายวิชาชีพ,ชาย,4,ชลบุรี
5873,178,2560,อุดมศึกษา - สายวิชาการศึกษา,ชาย,4,ชลบุรี
2064,179,2560,อื่น ๆ,ชาย,4,ชลบุรี
14612,180,2560,ไม่ทราบ,ชาย,4,ชลบุรี
11110,181,2560,ไม่มีการศึกษา,หญิง,4,ชลบุรี
37497,182,2560,ต่ำกว่าประถมศึกษา,หญิง,4,ชลบุรี
90195,183,2560,ประถมศึกษา,หญิง,4,ชลบุรี
100836,184,2560,มัธยมศึกษาตอนต้น,หญิง,4,ชลบุรี
66109,185,2560,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,4,ชลบุรี
24648,186,2560,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,4,ชลบุรี
0,187,2560,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,4,ชลบุรี
60515,188,2560,อุดมศึกษา - สายวิชาการ,หญิง,4,ชลบุรี
41731,189,2560,อุดมศึกษา - สายวิชาชีพ,หญิง,4,ชลบุรี
12816,190,2560,อุดมศึกษา - สายวิชาการศึกษา,หญิง,4,ชลบุรี
2178,191,2560,อื่น ๆ,หญิง,4,ชลบุรี
6352,192,2560,ไม่ทราบ,หญิง,4,ชลบุรี
16393,193,2561,ไม่มีการศึกษา,ชาย,1,ชลบุรี
41966,194,2561,ต่ำกว่าประถมศึกษา,ชาย,1,ชลบุรี
107241,195,2561,ประถมศึกษา,ชาย,1,ชลบุรี
148446,196,2561,มัธยมศึกษาตอนต้น,ชาย,1,ชลบุรี
87642,197,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,1,ชลบุรี
22558,198,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,1,ชลบุรี
0,199,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,1,ชลบุรี
55201,200,2561,อุดมศึกษา - สายวิชาการ,ชาย,1,ชลบุรี
58659,201,2561,อุดมศึกษา - สายวิชาชีพ,ชาย,1,ชลบุรี
2382,202,2561,อุดมศึกษา - สายวิชาการศึกษา,ชาย,1,ชลบุรี
908,203,2561,อื่น ๆ,ชาย,1,ชลบุรี
32003,204,2561,ไม่ทราบ,ชาย,1,ชลบุรี
16232,205,2561,ไม่มีการศึกษา,หญิง,1,ชลบุรี
42486,206,2561,ต่ำกว่าประถมศึกษา,หญิง,1,ชลบุรี
85556,207,2561,ประถมศึกษา,หญิง,1,ชลบุรี
112896,208,2561,มัธยมศึกษาตอนต้น,หญิง,1,ชลบุรี
74557,209,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,1,ชลบุรี
18827,210,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,1,ชลบุรี
0,211,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,1,ชลบุรี
67005,212,2561,อุดมศึกษา - สายวิชาการ,หญิง,1,ชลบุรี
31452,213,2561,อุดมศึกษา - สายวิชาชีพ,หญิง,1,ชลบุรี
6177,214,2561,อุดมศึกษา - สายวิชาการศึกษา,หญิง,1,ชลบุรี
712,215,2561,อื่น ๆ,หญิง,1,ชลบุรี
21956,216,2561,ไม่ทราบ,หญิง,1,ชลบุรี
19527,217,2561,ไม่มีการศึกษา,ชาย,2,ชลบุรี
47542,218,2561,ต่ำกว่าประถมศึกษา,ชาย,2,ชลบุรี
98284,219,2561,ประถมศึกษา,ชาย,2,ชลบุรี
142308,220,2561,มัธยมศึกษาตอนต้น,ชาย,2,ชลบุรี
94531,221,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,2,ชลบุรี
28507,222,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,2,ชลบุรี
0,223,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,2,ชลบุรี
69021,224,2561,อุดมศึกษา - สายวิชาการ,ชาย,2,ชลบุรี
64483,225,2561,อุดมศึกษา - สายวิชาชีพ,ชาย,2,ชลบุรี
4895,226,2561,อุดมศึกษา - สายวิชาการศึกษา,ชาย,2,ชลบุรี
2335,227,2561,อื่น ๆ,ชาย,2,ชลบุรี
15205,228,2561,ไม่ทราบ,ชาย,2,ชลบุรี
20592,229,2561,ไม่มีการศึกษา,หญิง,2,ชลบุรี
40351,230,2561,ต่ำกว่าประถมศึกษา,หญิง,2,ชลบุรี
66164,231,2561,ประถมศึกษา,หญิง,2,ชลบุรี
128934,232,2561,มัธยมศึกษาตอนต้น,หญิง,2,ชลบุรี
68087,233,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,2,ชลบุรี
17390,234,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,2,ชลบุรี
0,235,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,2,ชลบุรี
72779,236,2561,อุดมศึกษา - สายวิชาการ,หญิง,2,ชลบุรี
38338,237,2561,อุดมศึกษา - สายวิชาชีพ,หญิง,2,ชลบุรี
8129,238,2561,อุดมศึกษา - สายวิชาการศึกษา,หญิง,2,ชลบุรี
887,239,2561,อื่น ๆ,หญิง,2,ชลบุรี
13575,240,2561,ไม่ทราบ,หญิง,2,ชลบุรี
10084,241,2561,ไม่มีการศึกษา,ชาย,3,ชลบุรี
39955,242,2561,ต่ำกว่าประถมศึกษา,ชาย,3,ชลบุรี
93900,243,2561,ประถมศึกษา,ชาย,3,ชลบุรี
158393,244,2561,มัธยมศึกษาตอนต้น,ชาย,3,ชลบุรี
110033,245,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,3,ชลบุรี
30620,246,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,3,ชลบุรี
0,247,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,3,ชลบุรี
55017,248,2561,อุดมศึกษา - สายวิชาการ,ชาย,3,ชลบุรี
59502,249,2561,อุดมศึกษา - สายวิชาชีพ,ชาย,3,ชลบุรี
5986,250,2561,อุดมศึกษา - สายวิชาการศึกษา,ชาย,3,ชลบุรี
6350,251,2561,อื่น ๆ,ชาย,3,ชลบุรี
15337,252,2561,ไม่ทราบ,ชาย,3,ชลบุรี
8405,253,2561,ไม่มีการศึกษา,หญิง,3,ชลบุรี
39167,254,2561,ต่ำกว่าประถมศึกษา,หญิง,3,ชลบุรี
75832,255,2561,ประถมศึกษา,หญิง,3,ชลบุรี
100135,256,2561,มัธยมศึกษาตอนต้น,หญิง,3,ชลบุรี
85680,257,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,3,ชลบุรี
27330,258,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,3,ชลบุรี
0,259,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,3,ชลบุรี
65868,260,2561,อุดมศึกษา - สายวิชาการ,หญิง,3,ชลบุรี
35606,261,2561,อุดมศึกษา - สายวิชาชีพ,หญิง,3,ชลบุรี
8900,262,2561,อุดมศึกษา - สายวิชาการศึกษา,หญิง,3,ชลบุรี
3947,263,2561,อื่น ๆ,หญิง,3,ชลบุรี
9478,264,2561,ไม่ทราบ,หญิง,3,ชลบุรี
19697,265,2561,ไม่มีการศึกษา,ชาย,4,ชลบุรี
45071,266,2561,ต่ำกว่าประถมศึกษา,ชาย,4,ชลบุรี
100942,267,2561,ประถมศึกษา,ชาย,4,ชลบุรี
144698,268,2561,มัธยมศึกษาตอนต้น,ชาย,4,ชลบุรี
102050,269,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,4,ชลบุรี
26630,270,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,4,ชลบุรี
0,271,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,4,ชลบุรี
49247,272,2561,อุดมศึกษา - สายวิชาการ,ชาย,4,ชลบุรี
71037,273,2561,อุดมศึกษา - สายวิชาชีพ,ชาย,4,ชลบุรี
4128,274,2561,อุดมศึกษา - สายวิชาการศึกษา,ชาย,4,ชลบุรี
0,275,2561,อื่น ๆ,ชาย,4,ชลบุรี
16116,276,2561,ไม่ทราบ,ชาย,4,ชลบุรี
9802,277,2561,ไม่มีการศึกษา,หญิง,4,ชลบุรี
42798,278,2561,ต่ำกว่าประถมศึกษา,หญิง,4,ชลบุรี
67858,279,2561,ประถมศึกษา,หญิง,4,ชลบุรี
113852,280,2561,มัธยมศึกษาตอนต้น,หญิง,4,ชลบุรี
86791,281,2561,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,4,ชลบุรี
28326,282,2561,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,4,ชลบุรี
0,283,2561,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,4,ชลบุรี
67776,284,2561,อุดมศึกษา - สายวิชาการ,หญิง,4,ชลบุรี
42956,285,2561,อุดมศึกษา - สายวิชาชีพ,หญิง,4,ชลบุรี
8304,286,2561,อุดมศึกษา - สายวิชาการศึกษา,หญิง,4,ชลบุรี
0,287,2561,อื่น ๆ,หญิง,4,ชลบุรี
10553,288,2561,ไม่ทราบ,หญิง,4,ชลบุรี
27592,289,2562,ไม่มีการศึกษา,ชาย,1,ชลบุรี
43655,290,2562,ต่ำกว่าประถมศึกษา,ชาย,1,ชลบุรี
92143,291,2562,ประถมศึกษา,ชาย,1,ชลบุรี
136649,292,2562,มัธยมศึกษาตอนต้น,ชาย,1,ชลบุรี
103175,293,2562,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,1,ชลบุรี
21603,294,2562,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,1,ชลบุรี
0,295,2562,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,1,ชลบุรี
56395,296,2562,อุดมศึกษา - สายวิชาการ,ชาย,1,ชลบุรี
67021,297,2562,อุดมศึกษา - สายวิชาชีพ,ชาย,1,ชลบุรี
1791,298,2562,อุดมศึกษา - สายวิชาการศึกษา,ชาย,1,ชลบุรี
0,299,2562,อื่น ๆ,ชาย,1,ชลบุรี
23701,300,2562,ไม่ทราบ,ชาย,1,ชลบุรี
15410,301,2562,ไม่มีการศึกษา,หญิง,1,ชลบุรี
45753,302,2562,ต่ำกว่าประถมศึกษา,หญิง,1,ชลบุรี
60954,303,2562,ประถมศึกษา,หญิง,1,ชลบุรี
123386,304,2562,มัธยมศึกษาตอนต้น,หญิง,1,ชลบุรี
90919,305,2562,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,1,ชลบุรี
14717,306,2562,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,1,ชลบุรี
369,307,2562,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,1,ชลบุรี
65508,308,2562,อุดมศึกษา - สายวิชาการ,หญิง,1,ชลบุรี
40685,309,2562,อุดมศึกษา - สายวิชาชีพ,หญิง,1,ชลบุรี
8384,310,2562,อุดมศึกษา - สายวิชาการศึกษา,หญิง,1,ชลบุรี
0,311,2562,อื่น ๆ,หญิง,1,ชลบุรี
16738,312,2562,ไม่ทราบ,หญิง,1,ชลบุรี
17430,313,2562,ไม่มีการศึกษา,ชาย,2,ชลบุรี
33474,314,2562,ต่ำกว่าประถมศึกษา,ชาย,2,ชลบุรี
91874,315,2562,ประถมศึกษา,ชาย,2,ชลบุรี
145797,316,2562,มัธยมศึกษาตอนต้น,ชาย,2,ชลบุรี
91664,317,2562,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,2,ชลบุรี
30297,318,2562,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,2,ชลบุรี
0,319,2562,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,2,ชลบุรี
57386,320,2562,อุดมศึกษา - สายวิชาการ,ชาย,2,ชลบุรี
