ค่าข้อมูล,_id,ปี,แหล่งที่มา,อำเภอ,รายการ,จังหวัด,หน่วย
86,1,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอเมืองปทุมธานี,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
147,2,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอคลองหลวง,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
40,3,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอธัญบุรี,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
6,4,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอหนองเสือ,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
53,5,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอลาดหลุมแก้ว,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
56,6,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอลำลูกกา,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
21,7,2567,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอสามโคก,โรงงานอุตสาหกรรมทั้งหมดในพื้นที่ที่มีการปล่อย มลพิษทางอากาศ,ปทุมธานี,แห่ง
