สถานภาพการทางาน,ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
ลูกจ้างเอกชน,46446,สำนักงานสถิติจังหวัดมหาสารคาม,32,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,24970,สำนักงานสถิติจังหวัดมหาสารคาม,33,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,182993,สำนักงานสถิติจังหวัดมหาสารคาม,34,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,118723,สำนักงานสถิติจังหวัดมหาสารคาม,35,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,64270,สำนักงานสถิติจังหวัดมหาสารคาม,36,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,67328,สำนักงานสถิติจังหวัดมหาสารคาม,37,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,22249,สำนักงานสถิติจังหวัดมหาสารคาม,38,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,45080,สำนักงานสถิติจังหวัดมหาสารคาม,39,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,40,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,41,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,42,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,405956,สำนักงานสถิติจังหวัดมหาสารคาม,43,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,219887,สำนักงานสถิติจังหวัดมหาสารคาม,44,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,186069,สำนักงานสถิติจังหวัดมหาสารคาม,45,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,6666,สำนักงานสถิติจังหวัดมหาสารคาม,46,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,5501,สำนักงานสถิติจังหวัดมหาสารคาม,47,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,1165,สำนักงานสถิติจังหวัดมหาสารคาม,48,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,46195,สำนักงานสถิติจังหวัดมหาสารคาม,49,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,20743,สำนักงานสถิติจังหวัดมหาสารคาม,50,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,25452,สำนักงานสถิติจังหวัดมหาสารคาม,51,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,62054,สำนักงานสถิติจังหวัดมหาสารคาม,52,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,38619,สำนักงานสถิติจังหวัดมหาสารคาม,53,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,23436,สำนักงานสถิติจังหวัดมหาสารคาม,54,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,191698,สำนักงานสถิติจังหวัดมหาสารคาม,55,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,117098,สำนักงานสถิติจังหวัดมหาสารคาม,56,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,74600,สำนักงานสถิติจังหวัดมหาสารคาม,57,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,99342,สำนักงานสถิติจังหวัดมหาสารคาม,58,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,37927,สำนักงานสถิติจังหวัดมหาสารคาม,59,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,61416,สำนักงานสถิติจังหวัดมหาสารคาม,60,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,61,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,62,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,63,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,388721,สำนักงานสถิติจังหวัดมหาสารคาม,64,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,211858,สำนักงานสถิติจังหวัดมหาสารคาม,65,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,176863,สำนักงานสถิติจังหวัดมหาสารคาม,66,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,4462,สำนักงานสถิติจังหวัดมหาสารคาม,67,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,3266,สำนักงานสถิติจังหวัดมหาสารคาม,68,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,1195,สำนักงานสถิติจังหวัดมหาสารคาม,69,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,41901,สำนักงานสถิติจังหวัดมหาสารคาม,70,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,19447,สำนักงานสถิติจังหวัดมหาสารคาม,71,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,22454,สำนักงานสถิติจังหวัดมหาสารคาม,72,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,61031,สำนักงานสถิติจังหวัดมหาสารคาม,73,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
