ที่มา,สระโบสถ์,เมืองลพบุรี,ท่าหลวง,ชัยบาดาล,_id,ปี,ลำดับ,หน่วย,บ้านหมี่,ลำสนธิ,พัฒนานิคม,โคกเจริญ,โคกสำโรง,หนองม่วง,ท่าวุ้ง
สำนักงานเกษตรจังหวัดลพบุรี,"40,261","154,316",270,"28,554",1,2562,1,ไร่,"210,593","9,534","53,666","35,120","118,949","13,920","101,630"
สำนักงานเกษตรจังหวัดลพบุรี,"48,510","106,128",311,"37,070",2,2563,2,ไร่,"231,647","10,911","38,179","41,845","130,017","16,049","106,228"
สำนักงานเกษตรจังหวัดลพบุรี,"48,725","117,242",451,"37,510",3,2564,3,ไร่,"228,534","11,018","38,863","43,305","134,517","17,326","101,987"
สำนักงานเกษตรจังหวัดลพบุรี,"51,383","121,854","1,032","35,989",4,2565,4,ไร่,"248,519","9,576","36,818","47,145","138,259","17,007","109,363"
สำนักงานเกษตรจังหวัดลพบุรี,"51,403","122,072",505,"36,683",5,2566,5,ไร่,"217,866","11,240","37,195","44,031","130,342","17,881","112,863"
