_id,ลำดับ,2564,2563,อำเภอ,2562
1,1,57,32,เมืองนครสวรรค์,34
2,2,42,30,เก้าเลี้ยว,28
3,3,139,161,โกรกพระ,165
4,4,74,75,แม่เปิน,51
5,5,212,120,แม่วงก์,115
6,6,99,83,ไพศาลี,62
7,7,157,149,ชุมแสง,167
8,8,139,132,ชุมตาบง,78
9,9,20,15,ตากฟ้า,14
10,10,31,16,ตาคลี,8
11,11,228,205,ท่าตะโก,80
12,12,286,210,บรรพตพิสัย,213
13,13,62,70,พยุหะคีรี,67
14,14,114,96,ลาดยาว,94
15,15,192,151,หนองบัว,155
16,,1852,1545,รวม,1331
