ประเภท,_id,ปี,ผลผลิตเฉลี่ย,เนื้อที่ให้ผลผลิต,ราคาผลผลิต,รายได้ (ล้านบาท),เนื้อที่เก็บเกี่ยว,ปริมาณผลผลิต(ตัน)
ลิ้นจี่,1,2564,491.22,"5,146.00",130,328.614,"1,830.00","2,528"
ลิ้นจี่,2,2565,40.63,"5,160.00",227,47.58646,"3,004.00",210
ลิ้นจี่,3,2566,743.55,"5,142.00",110,420.56392,"4,677.00","3,823"
ลิ้นจี่,4,2567,0,"5,117.00",0, -   ,0,0
ลิ้นจี่,5,2568,721.93,"5,093.00",123,452.24271,"4,080.00","3,677"
