เดือน,ค่าข้อมูล,ที่มา,_id,ปี,รายการ,หน่วย
ตุลาคม," 14,468 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,1,2566,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
พฤศจิกายน," 13,751 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,2,2566,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
ธันวาคม," 13,067 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,3,2566,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
มกราคม," 16,682 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,4,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
กุมภาพันธ์," 14,939 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,5,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
มีนาคม," 15,408 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,6,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
เมษายน," 14,051 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,7,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
พฤษภาคม," 15,109 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,8,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
มิถุนายน," 17,834 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,9,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
กรกฎาคม," 18,369 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,10,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
สิงหาคม," 17,304 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,11,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
กันยายน," 17,007 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,12,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
ตุลาคม," 16,023 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,13,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
พฤศจิกายน," 16,471 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,14,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
ธันวาคม," 15,076 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,15,2567,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
มกราคม," 17,404 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,16,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
กุมภาพันธ์," 14,290 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,17,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
มีนาคม," 15,798 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,18,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
เมษายน," 13,621 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,19,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
พฤษภาคม," 15,008 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,20,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
มิถุนายน," 15,216 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,21,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
กรกฎาคม," 15,309 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,22,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
สิงหาคม," 15,163 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,23,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
กันยายน," 15,136 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,24,2568,ปริมาณขยะติดเชื้อโรงพยาบาลเอกชน,กิโลกรัม
