จำนวน,ที่มา,_id,ปี,หน่วยนับ,พื้นที่
921,สำนักงานเกษตรจังหวัดพิจิตร,1,2561,ไร่,จังหวัดพิจิตร
2977,สำนักงานเกษตรจังหวัดพิจิตร,2,2562,ไร่,จังหวัดพิจิตร
3551,สำนักงานเกษตรจังหวัดพิจิตร,3,2563,ไร่,จังหวัดพิจิตร
2901,สำนักงานเกษตรจังหวัดพิจิตร,4,2564,ไร่,จังหวัดพิจิตร
5241,สำนักงานเกษตรจังหวัดพิจิตร,5,2565,ไร่,จังหวัดพิจิตร
10838,สำนักงานเกษตรจังหวัดพิจิตร ,6,2566,ไร่ , จังหวัดพิจิตร 
13976,สำนักงานเกษตรจังหวัดพิจิตร ,7,2567,ไร่ , จังหวัดพิจิตร 
13930,สำนักงานเกษตรจังหวัดพิจิตร ,8,2568,ไร่ , จังหวัดพิจิตร 
