วันที่หมดอายุ,_id,ลำดับ,เลขทะเบียน,วันที่อนุมัติ,ระดับ GI,ชื่อโรงงาน
2569-06-28T00:00:00,1,1,10200000125249,2566-06-29T00:00:00,4,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
2569-06-28T00:00:00,2,2,10200000225221,2566-06-29T00:00:00,4,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน)
2568-07-08T00:00:00,3,3,10200100125560,2565-08-08T00:00:00,4,บริษัท ฮีดากา ซูซูโทกุ (ประเทศไทย) จำกัด
2568-07-08T00:00:00,4,4,10200004025569,2565-08-08T00:00:00,4,บริษัท ฮีดากา ซูซูโทกุ (ประเทศไทย) จำกัด
2569-04-27T00:00:00,5,5,10200014825479,2566-04-28T00:00:00,4,บริษัท สยามวัฒนา เวสต์ แมนเน็จเม้นท์ จำกัด
2569-04-27T00:00:00,6,6,10200101025561,2566-04-28T00:00:00,4,บริษัท ไทย โอนลี่ วัน แมเนจ แอนด์ เซอร์วิส จำกัด
2568-07-08T00:00:00,7,7,20200302925625,2565-08-08T00:00:00,4,บริษัท ไทยอีสเทิร์น ไบโอ พาวเวอร์ จำกัด
2567-12-21T00:00:00,8,8,20200011525575,2564-12-22T00:00:00,4,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด
2567-12-21T00:00:00,9,9,10200000925481,2564-12-22T00:00:00,4,บริษัท ไลอ้อน (ประเทศไทย) จำกัด
2569-04-27T00:00:00,10,10,10200100125289,2566-04-28T00:00:00,4,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน)
2568-07-08T00:00:00,11,11,10200001225600,2565-08-08T00:00:00,4,บริษัท ไลอ้อน (ประเทศไทย) จำกัด
