AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,YEAR
ชาย,1775.25,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,1,15-19 ปี,พันคน,2567
ชาย,685.82,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,2,20-24 ปี,พันคน,2567
ชาย,172.77,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,3,25-29 ปี,พันคน,2567
ชาย,105.99,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,4,30-34 ปี,พันคน,2567
ชาย,99.45,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,5,35-39 ปี,พันคน,2567
ชาย,231.65,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,6,40-49 ปี,พันคน,2567
ชาย,400.26,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,7,50-59 ปี,พันคน,2567
ชาย,2962.25,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,8,60 ปีขึ้นไป,พันคน,2567
หญิง,1941.97,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,9,15-19 ปี,พันคน,2567
หญิง,1115.51,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,10,20-24 ปี,พันคน,2567
หญิง,486.22,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,11,25-29 ปี,พันคน,2567
หญิง,400.56,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,12,30-34 ปี,พันคน,2567
หญิง,368.37,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,13,35-39 ปี,พันคน,2567
หญิง,904.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,14,40-49 ปี,พันคน,2567
หญิง,1516.78,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,15,50-59 ปี,พันคน,2567
หญิง,5702.99,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,16,60 ปีขึ้นไป,พันคน,2567
ชาย,1775.16,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,17,15-19 ปี,พันคน,2567
ชาย,689.01,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,18,20-24 ปี,พันคน,2567
ชาย,179.36,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,19,25-29 ปี,พันคน,2567
ชาย,108.23,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,20,30-34 ปี,พันคน,2567
ชาย,87.33,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,21,35-39 ปี,พันคน,2567
ชาย,228.53,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,22,40-49 ปี,พันคน,2567
ชาย,399.58,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,23,50-59 ปี,พันคน,2567
ชาย,3043.85,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,24,60 ปีขึ้นไป,พันคน,2567
หญิง,1925.84,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,25,15-19 ปี,พันคน,2567
หญิง,1076.55,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,26,20-24 ปี,พันคน,2567
หญิง,469.41,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,27,25-29 ปี,พันคน,2567
