PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,LABOR_FORCE_STATUS,REGION,YEAR
พระนครศรีอยุธยา,281.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,61,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
พระนครศรีอยุธยา,7.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,62,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
พระนครศรีอยุธยา,232.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,63,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
พระนครศรีอยุธยา,4.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
เพชรบุรี,147.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,65,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
กรุงเทพมหานคร,2939.13,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,66,ชาย,พันคน,ผู้มีงานทำ,กรุงเทพมหานคร,2568
ประจวบคีรีขันธ์,145.96,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,67,ชาย,พันคน,ผู้มีงานทำ,ภาคกลาง,2568
สระบุรี,235.19,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,68,ชาย,พันคน,ผู้มีงานทำ,ภาคกลาง,2568
จันทบุรี,0.26,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,69,ชาย,พันคน,ผู้ว่างงาน,ภาคตะวันออก,2568
สระแก้ว,4.53,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,70,ชาย,พันคน,กำลังแรงงานที่รอฤดูกาล,ภาคตะวันออก,2568
นครพนม,1.69,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,71,หญิง,พันคน,กำลังแรงงานที่รอฤดูกาล,ภาคตะวันออกเฉียงเหนือ,2568
เพชรบุรี,1.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,72,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
