PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,LABOR_FORCE_STATUS,REGION,YEAR
สุโขทัย,2.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,167,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
สุโขทัย,0.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,168,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
อุตรดิตถ์,114.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,169,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
อุตรดิตถ์,0.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,170,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
อุตรดิตถ์,3.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,171,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
อุทัยธานี,78.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,172,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
อุทัยธานี,0.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,173,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
อุทัยธานี,2.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,174,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
เชียงราย,327.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,175,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
เชียงราย,5.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,176,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
เชียงราย,1.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,177,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
เชียงใหม่,521.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,178,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
เชียงใหม่,7.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,179,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
เชียงใหม่,0.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,180,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
เพชรบูรณ์,249.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,181,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
เพชรบูรณ์,4.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,182,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
เพชรบูรณ์,8.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,183,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
แพร่,123.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,184,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
แพร่,0.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,185,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
แพร่,4.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,186,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
แม่ฮ่องสอน,58.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,187,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
แม่ฮ่องสอน,1.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,188,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
แม่ฮ่องสอน,1.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,189,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
กำแพงเพชร,179.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,190,หญิง,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
กำแพงเพชร,2.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,191,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
กำแพงเพชร,6.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,192,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
ตาก,99.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,193,หญิง,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
ตาก,0.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,194,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
ตาก,3.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,195,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
นครสวรรค์,233.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,196,หญิง,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
