รถบัสส่วนตัว,รถบรรทุกส่วนตัว,_id,ปี,รถโดยสารไม่ประจำทาง,รถโดยสาร,รถบรรทุกไม่ประจำทาง,รถขนาดเล็ก,รถบรรทุก,รถโดยสารประจำทาง
26,592,1,2563,6,0,149,0,0,5
17,616,2,2564,5,0,157,0,0,2
14,560,3,2565,4,0,172,0,0,6
22,473,4,2566,4,0,132,0,0,4
16,470,5,2567,3,0,85,0,0,13
