_id,ปี,ราคาผลผลิตเฉลี่ย,อำเภอ,หน่วย
1,2562,11880,เมืองสมุทรสาคร,บาท/ตัน
2,2562,11880,กระทุ่มแบน,บาท/ตัน
3,2562,11880,บ้านแพ้ว,บาท/ตัน
4,2563,10090,เมืองสมุทรสาคร,บาท/ตัน
5,2563,10090,กระทุ่มแบน,บาท/ตัน
6,2563,10090,บ้านแพ้ว,บาท/ตัน
7,2564,8050,เมืองสมุทรสาคร,บาท/ตัน
8,2564,8050,กระทุ่มแบน,บาท/ตัน
9,2564,8050,บ้านแพ้ว,บาท/ตัน
10,2565,9000,เมืองสมุทรสาคร,บาท/ตัน
11,2565,9000,กระทุ่มแบน,บาท/ตัน
12,2565,9000,บ้านแพ้ว,บาท/ตัน
13,2566,11000,เมืองสมุทรสาคร,บาท/ตัน
14,2566,11000,กระทุ่มแบน,บาท/ตัน
15,2566,11000,บ้านแพ้ว,บาท/ตัน
