เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
ธันวาคม,38791,1,2568,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ธันวาคม,1583,2,2568,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
ธันวาคม,6117,3,2568,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
ธันวาคม,8,4,2568,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
ธันวาคม,415,5,2568,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
ธันวาคม,15,6,2568,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
ธันวาคม,9,7,2568,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
ธันวาคม,26,8,2568,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
ธันวาคม,153151,9,2568,รย. 12 รถจักรยานยนต์,รถยนต์
ธันวาคม,3434,10,2568,รย. 13 รถแทร็กเตอร์,รถยนต์
ธันวาคม,62,11,2568,รย. 14 รถบดถนน,รถยนต์
ธันวาคม,11,12,2568,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
ธันวาคม,124,13,2568,รย. 16 รถพ่วง,รถยนต์
ธันวาคม,105,14,2568,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
ธันวาคม,228,15,2568,รถโดยสารประจำทาง,รถขนส่ง
ธันวาคม,324,16,2568,รถโดยสารไม่ประจำทาง,รถขนส่ง
ธันวาคม,31,17,2568,รถโดยสารส่วนบุคคล,รถขนส่ง
ธันวาคม,2514,18,2568,รถบรรทุกไม่ประจำทาง,รถขนส่ง
ธันวาคม,2318,19,2568,รถบรรทุกส่วนบุคคล,รถขนส่ง
