มูลค่าความเสียหาย (บาท),_id,พื้นที่เพาะปลูก (ไร่),อำเภอ
0,1,78.5,เมืองอุทัยธานี
"25,063,164.00",2,"4,185.50",ทัพทัน
"212,183,244.00",3,"13,017.80",สว่างอารมณ์
"17,892,504.00",4,"11,570.12",หนองฉาง
0,5,386.5,หนองขาหย่าง
0,6,"90,274.10",บ้านไร่
0,7,"16,604.60",ลานสัก
0,8,"23,121.86",ห้วยคต
