year,_id,value,unit
2558,1,1285366.8,คน
2559,2,1412860.7,คน
2560,3,1462908.6,คน
2561,4,1377490.1,คน
2562,5,1370055.1,คน
2563,6,1375482.2,คน
2564,7,1323328.7,คน
2565,8,1237614.2,คน
2566,9,1142312.2,คน
2567,10,1118672.35,คน
2568,11,1101084.14,คน
