โรงงาน,อ้อยสด (ตัน),"วันเปิดหีบ
/วันปิดหีบ",_id,อ้อยไฟไหม้ (ตัน),คุณภาพความหวาน C.C.S.,น้ำตาลต่ออ้อย 1 ตัน (กก.),อ้อยเข้าหีบ (ตัน),อำเภอ,น้ำตาลที่ผลิตได้ (ก.ส.)
"โรงงานน้ำตาล
ทรายกำแพงเพชร","692,188.63",16-ธ.ค.-64,1,"17,081.01",12.16,87.56,"709,269.64",เมืองกำแพงเพชร,"621,007.20"
"โรงงานน้ำตาล
นครเพชร","1,976,852.31",16-ธ.ค.-64,2,"134,002.54",12.24,101.16,"2,110,854.85",เมืองกำแพงเพชร,"2,135,365.20"
"โรงงานน้ำตาล
ทิพย์กำแพงเพชร","2,125,153.60",16-ธ.ค.-64,3,"74,916.67",12.04,101.73,"2,200,070.27",บึงสามัคคี,"2,238,060.66"
รวม,"4,794,194.54",-,4,"226,000.22",12.14,99.49,"5,020,194.76",,"4,994,433.06"
