ค่าข้อมูล,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
5,สำนักงานประกันสังคมสำนักงานประกันสังคมจังหวัดมุกดาหาร,1,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,มุกดาหาร,ราย
2,สำนักงานประกันสังคมจังหวัดมุกดาหาร,2,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,มุกดาหาร,ราย
234,สำนักงานประกันสังคมจังหวัดมุกดาหาร,3,2565,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,มุกดาหาร,ราย
241,สำนักงานประกันสังคมจังหวัดมุกดาหาร,4,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มุกดาหาร,ราย
