dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,ไตรมาส,-,2,text,quarter
3,ภาค,-,3,text,region
4,จังหวัด,-,4,text,province
5,เขตการปกครอง,-,5,text,area
6,เพศ,-,6,text,sex
7,กลุ่มอายุ,-,7,text,age group
8,ระดับการศึกษาที่สำเร็จ ระดับการศึกษา,-,8,text,level_of_educational_attainment
9,ค่าข้อมูล,-,9,numeric,value
10,หน่วยนับ,-,10,text,unit
11,ที่มาระดับกรม,-,11,text,source
