_id,ปี,ไร่,อำเภอ,รายการ
1,2568,19938,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
2,2567,20109,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
3,2566,21598.5,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
4,2565,26066.5,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
5,2564,29134.19,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
6,2563,21911.17,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
7,2562,20457,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
8,2561,16525,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกข้าว (ไร่)
9,2568,16958.75,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
10,2567,17522,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
11,2566,19564,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
12,2565,20701,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
13,2564,26445,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
14,2563,17512.5,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
15,2562,15298,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
16,2561,13736,ขุนยวม,เนื้อที่เพาะปลูกข้าว (ไร่)
17,2568,11887,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
18,2567,17345,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
19,2566,17228,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
20,2565,17722,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
21,2564,19376,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
22,2563,25265.5,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
23,2562,21975,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
24,2561,11641,ปาย,เนื้อที่เพาะปลูกข้าว (ไร่)
25,2568,52795,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
26,2567,42941,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
27,2566,43782,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
28,2565,46180.43,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
29,2564,43283,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
30,2563,41025,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
31,2562,33286,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
32,2561,40498,แม่สะเรียง,เนื้อที่เพาะปลูกข้าว (ไร่)
33,2568,37365,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
34,2567,37295,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
35,2566,40175,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
36,2565,38217,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
37,2564,41279,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
38,2563,36350,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
39,2562,35682,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
40,2561,34590,แม่ลาน้อย,เนื้อที่เพาะปลูกข้าว (ไร่)
41,2568,19663,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
42,2567,13710,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
43,2566,28139,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
44,2565,25378,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
45,2564,25240,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
46,2563,25023,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
47,2562,21360,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
48,2561,10292,ปางมะผ้า,เนื้อที่เพาะปลูกข้าว (ไร่)
49,2568,63870,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
50,2567,47580,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
51,2566,47470,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
52,2565,49669,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
53,2564,47750,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
54,2563,49330,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
55,2562,33048,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
56,2561,8731,สบเมย,เนื้อที่เพาะปลูกข้าว (ไร่)
